country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
BEL,Belgium,1904,258.6,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
ITA,Italy,1904,131.0,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
CHE,Switzerland,1904,91.2,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
,Austria-Hungary,1904,82.6,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
TUR,Turkey,1904,40.6,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
ESP,Spain,1904,42.3,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
DNK,Denmark,1904,19.7,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
NOR,Norway,1904,7.8,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
RUS,Russia (Empire average),1904,7.6,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
BEL,Belgium,1910,273.1,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
ITA,Italy,1910,132.0,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
,Austria-Hungary,1910,85.6,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
DNK,Denmark,1910,20.5,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
USA,United States,1910,10.6,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
NOR,Norway,1910,8.1,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
RUS,Russia (Empire average),1910,8.5,persons per sq. verst,population_density,Population density,ussr-russia-historical:imperial-russia-statistical-yearbook
