country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,10287500,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1962,8699220,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1963,11468110,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1964,12281330,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1965,9866080,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1966,11122075,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1967,12185670,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1968,12408430,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1969,11884800,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1970,11221810,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1971,12321590,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1972,11702050,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1973,11688950,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1974,11538000,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1975,11780050,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1976,13051770,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1977,10542300,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1978,11425900,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1979,11131900,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1980,9952900,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1981,12377000,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1982,14052800,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1983,13599000,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1984,12337485,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1985,11508250,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1986,10119555,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1987,9631373,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1988,8835955,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1989,8515784,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1990,8504919,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1991,8115895,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1992,8418940,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1993,8852035,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1994,9029180,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1995,8676940,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1996,11039060,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1997,10709043,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1998,10219185,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,1999,10255855,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2000,11157363,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2001,11150403,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2002,9864350,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2003,9460057,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2004,9625229,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2005,9144236,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2006,9213958,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2007,9985077,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2008,9355935,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2009,6984875,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2010,9361848,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2011,10991311,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2012,9839135,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2013,10972610,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2014,12027777,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2015,10709207,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2016,13364925,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
ARG,Argentina,2017,14391296,,AG.LND.CREL.HA,Land under cereal production (hectares),wdi
