country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1990,0.00520571721850374,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
ARG,Argentina,2000,0.00758847622318138,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
ARG,Argentina,2015,0.00885170703133937,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
FRA,France,1990,0.1098787142509,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
FRA,France,2000,0.11917548307845,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
FRA,France,2015,0.134760737863284,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
DEU,Germany,1990,0.226936165108235,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
DEU,Germany,2000,0.244024323761848,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
DEU,Germany,2015,0.241155196324363,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
GRC,Greece,1990,0.143249367558621,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
GRC,Greece,2000,0.161004241487428,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
GRC,Greece,2015,0.159129943996442,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
IRN,Iran,1990,0.00853813575484678,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
IRN,Iran,2000,0.012230082272249,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
IRN,Iran,2015,0.0160591681876575,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
ITA,Italy,1990,0.31607969255821,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
ITA,Italy,2000,0.326074583737352,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
ITA,Italy,2015,0.362786953648732,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
KOR,South Korea,1990,0.337966591137108,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
KOR,South Korea,2000,0.398181480816659,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
KOR,South Korea,2015,0.441188310989097,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
NLD,Netherlands,1990,10.3167163605933,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
NLD,Netherlands,2000,11.525313014075,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
NLD,Netherlands,2015,12.3264209732598,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
PRT,Portugal,1990,0.117184675399509,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
PRT,Portugal,2000,0.128484761846298,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
PRT,Portugal,2015,0.132672738916935,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
RUS,Russia,1990,0.00346924889668501,,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),wdi
