country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1976,431000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1977,1260000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1978,1884000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1979,-283000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1980,-5067000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1981,-4922000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1982,-2755000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1983,-2804000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1984,-2581000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1985,-1357000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1986,-2671000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1987,-4356000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1988,-1687000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1989,-1350000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1990,4771000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1991,-772000000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1992,-5879377230.522606,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1993,-9929834222.561987,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1994,-13081918149.03903,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1995,-7789095694.501733,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1996,-8316033500.022786,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1997,-14368490467.94066,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1998,-14843898101.40507,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,1999,-12421233145.79693,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2000,-9071003829.39135,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2001,-6487785369.18896,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2002,7294010000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2003,6822710000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2004,3940389994.36718,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2005,5472730000,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2006,7480430887.967544,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2007,5899446879.667216,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2008,6553954182.718134,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2009,6712782617.353711,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2010,-3802103287.424845,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2011,-5252202975.222521,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2012,-2788135613.778189,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2013,-16164896491.25326,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2014,-9320672304.623192,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2015,-18497849221.95292,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2016,-13964056184.69104,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2017,-31273187931.01119,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2018,-28035820784.83895,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2019,-5119265557.22344,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2020,1362120006.728993,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2021,4501708102.3928,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2022,-7437161497.941459,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2023,-25534486928.49763,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2024,1500892941.944184,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
ARG,Argentina,2025,-11413665349.7041,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1975,4548708747.466806,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1976,-2350243367.735326,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1977,522302820.242391,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1978,7000801718.887416,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1979,5697246666.05972,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1980,-1936623784.32055,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1981,-7096872830.919096,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1982,-13043387108.37081,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1983,-4809533012.834105,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1984,-227300086.7925179,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1985,253453067.612853,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1986,3241660986.199162,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
FRA,France,1987,-3598966256.080295,,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",wdi,false
