country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1976,25.210084033613445,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1977,22.292323869610936,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1978,25.666973321067154,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1979,19.50328707085464,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1980,18.336886993603414,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1981,24.06759906759907,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1982,38.75476493011436,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1983,31.1340206185567,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1984,29.119788219722036,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1985,31.677771047849788,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1986,35.19098309329994,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1987,34.280936454849495,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1988,31.464019851116625,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1989,36.02371181030552,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1990,36.91741618969747,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1991,32.475083056478404,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1992,49.81473996227432,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1993,56.07958829988491,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1994,58.06548513066987,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1995,58.249882032192104,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1996,59.69265808167346,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1997,60.60610727052861,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1998,62.4021412658893,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,1999,61.53282680059541,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2000,59.2625662981003,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2001,57.571195393768335,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2002,44.883632536109,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2003,45.728644361901765,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2004,43.2386885816831,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2005,42.25882076041412,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2006,42.36210656594794,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2007,43.05499545585083,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2008,40.82640720706542,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2009,37.82833770907011,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2010,38.92607177541438,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2011,37.462646555364046,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2012,35.19122171977054,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2013,33.075131703821484,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2014,37.025286509673826,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2015,37.28724552902396,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2016,36.99828000296168,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2017,34.62883889354662,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2018,36.25830180429029,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2019,35.40409238429245,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2020,18.19969742171452,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2021,4.111068887559912,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2022,24.09512006371976,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
ARG,Argentina,2023,33.18536741939001,,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",wdi
