country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1960,43210000.306367844,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1961,53950000.0476837,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1962,65290000.081062324,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1963,30329999.901354305,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1964,-3289999.485015841,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1965,-59149998.84366995,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1966,-11830000.581219789,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1967,6429999.9848008,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1968,379999.25017360225,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1969,15490000.11011957,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1970,-4779999.595135374,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1971,2030000.193044548,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1972,-1209999.9282509303,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1973,10290000.023320343,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1974,12250000.147148963,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1975,4959999.736398457,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1976,6640000.248327853,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1977,8920000.107958877,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1978,9749999.748542914,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1979,18689999.748021368,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1980,32079999.33324754,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1981,28460000.578314032,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
ARG,Argentina,1982,23849999.448284533,,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",wdi,false
