country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1971,5255851,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1972,308338800,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1973,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1974,-132294250,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1975,244537497,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1976,237258997.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1977,-120365306.8,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1978,-508158256.9,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1979,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1980,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1981,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1982,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1983,1197930000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1984,-886695420.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1985,999600000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1986,-236587546.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1987,622676396.9,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1988,22529336.7,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1989,-479671285.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1990,-260140594.7,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1991,-590229902.6,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1992,-74826905.7,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1993,1228324090.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1994,461485016.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1995,1880911723.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1996,365343154.1,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1997,-36828297.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1998,-656932665.4,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1999,-823838946.1,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2000,814695309.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2001,9218265463.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2002,-742773549.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2003,-141715225.6,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2004,-2034975076,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2005,-3571203528.8,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2006,-9793289568.6,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2018,28623222038.4,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2019,16165694452.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2020,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2021,-3779982686.4,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2022,6631907082.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2023,-5073959569.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,2024,912702230.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
IRN,Iran,2022,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,1992,1012792401.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,1993,1505695116.9,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,1994,1544157231.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,1995,5453330828.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,1996,3235101136.7,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,1997,1524367847.8,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,1998,5326814251.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,1999,-3595845757.9,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2000,-2887957490.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2001,-3816652383.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2002,-1485973109.7,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2003,-1896865120.8,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2004,-1656036335.8,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2005,-3388678171.8,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2012,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2013,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2014,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2015,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2016,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2017,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2018,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2019,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2020,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2021,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
RUS,Russia,2022,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1970,48000000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1971,-12037000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1972,-97995000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1973,-11471000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1975,297941000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1976,149208000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1978,175010000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1979,1912000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1980,484700000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1981,364400000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1982,202640000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1983,190100000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1984,-43100000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1985,-251320000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1986,-375790000,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1987,-450871891,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1988,-431415290.1,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1989,-238158237.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1990,-49214540.6,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1994,337250727.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1995,341378434,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1997,-27608494.1,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1998,-223359494.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,1999,510081162.9,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2000,3371976927.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2001,10219826429.3,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2002,6490911804,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2003,-45996740.4,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2004,-3504114815.4,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2005,-5319920545.4,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2006,-4552002155.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2007,-4016661579,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2008,1587698208.4,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2009,-706480115.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2010,-2170826706.1,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2011,-2806670271.6,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2012,-2008976030.2,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2013,-854242901.5,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
TUR,Turkey,2022,0,,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",wdi,false
ARG,Argentina,1971,33003692.8197,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1972,1351181784.5438,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1973,0.0,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1974,-291142415.2772,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1975,1392054795.4225,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1976,950203119.3655,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1977,-508544990.7375,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1978,-1521242805.6221,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1979,0.0,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1980,0.0,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1981,0.0,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1982,0.0,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1983,3790738567.7267,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1984,-2480431863.8143,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1985,3221486735.5807,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1986,-628534942.4979,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1987,1625991035.4807,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
ARG,Argentina,1988,54212293.564,constant 2015 US$ (computed),DT.NFL.IMFN.COMPUTED_REAL_2015USD,"Net financial flows, IMF nonconcessional (NFL, current US$) (computed real, 2015 US$)",wdi,true
