country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1970,-4000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1971,119000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1972,51000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1973,-28000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1974,28000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1975,-3000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1976,-159000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1977,-31000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1978,-165000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1979,2336800000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1980,1162400000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1981,5581600000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1982,2020000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1983,100000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1984,-29000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1985,-182000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1986,-233500000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1987,11676000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1988,10000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1989,1000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1992,-220000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1994,1709828000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1995,881763000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1996,599000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1997,2145000000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1998,2892292000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,1999,196173000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2000,-119646000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2001,-3100270000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2002,-72805000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2003,109215000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2004,-818008000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2005,-119118000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2006,816695000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2007,-134424000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2008,2730189000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2009,-1793755000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
ARG,Argentina,2010,-2422007000,,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",wdi,false
