country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1990,35.25110753910691,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1991,30.30038615773058,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1992,34.72388046403051,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1993,38.74272786037492,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1994,41.87006734314532,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1995,40.1140203331299,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1996,33.35865390127845,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1997,39.29078992756123,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1998,36.306161789089145,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,1999,27.195730506816577,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2000,33.03178865990966,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2001,41.61724382722896,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2002,43.240245848354114,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2003,37.88123941092142,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2004,31.518902262687103,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2005,33.72057029942611,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2006,34.739686541377246,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2007,29.226791140076617,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2008,27.450146399074853,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2009,30.495398371857323,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2010,28.633480141253028,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2011,26.389827498339848,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2012,24.283996530891237,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
ARG,Argentina,2013,26.367384399176867,,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),wdi
