country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1990,1306.1158049048934,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1991,1346.873428203795,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1992,1414.0995093805407,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1993,1504.5069474267596,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1994,1595.4472780569865,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1995,1671.0284168643188,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1996,1732.5099574692008,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1997,1837.4147106841697,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1998,1956.5412233187053,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,1999,2018.6612837148587,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2000,2091.7943104398605,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2001,2093.1127254412477,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2002,2027.039695052366,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2003,2142.6294966292407,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2004,2257.0123039219275,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2005,2369.5463695408616,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2006,2502.5418254426854,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2007,2596.6118248994803,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2008,2702.5677820099017,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2009,2680.0992029559493,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2010,2777.7337786465223,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2011,2880.7835773505617,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2012,2917.622836126637,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2013,2940.9295448090065,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2014,3036.2073361212147,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2015,3140.464206693873,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2016,3104.989251443378,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2017,3005.7648312464066,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2018,2971.343648383171,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2019,2876.7185272471224,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2020,2827.4273977686075,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2021,2942.9107751163533,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2022,2833.1190975033774,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2023,2821.7723323223404,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
ARG,Argentina,2024,2822.0971482526575,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1990,5966.425711932364,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1991,6360.307763867902,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1992,6476.280764232636,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1993,6453.384656985978,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1994,6530.651406645474,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1995,6622.009256298662,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1996,6904.985773122642,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1997,6832.769961265718,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1998,7014.989229894779,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,1999,7148.657896949036,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2000,7223.796333934523,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2001,7341.425465787748,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2002,7298.420430083138,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2003,7528.933199924722,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2004,7661.146207696587,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2005,7652.666423280698,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2006,7540.165685821499,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2007,7518.984443011836,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2008,7647.939616916574,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2009,7342.59262865289,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2010,7737.802837689559,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2011,7350.228027406447,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2012,7473.827234687122,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2013,7506.204891389627,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2014,7106.655263814955,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2015,7208.301366562906,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2016,7276.875535113967,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2017,7229.039352927657,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2018,7156.8169008564655,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2019,7059.074669740363,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2020,6685.615073480302,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2021,6950.699610604283,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2022,6649.389317568372,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2023,6415.0261116031725,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
FRA,France,2024,6447.211418811447,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1990,6639.731691460488,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1991,6564.797194727276,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1992,6445.873999892688,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1993,6288.416350052552,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1994,6244.9572282581175,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1995,6327.709753994987,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1996,6403.333725976923,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1997,6427.79876840273,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1998,6479.490249483849,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,1999,6505.132999423644,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,2000,6635.421405966668,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,2001,6762.6533964663595,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,2002,6900.78052702986,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,2003,7015.505915997755,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,2004,7116.233818643744,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,2005,7144.708738227849,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
DEU,Germany,2006,7219.9881492831,,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),wdi
