country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,41.04204616442277,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1961,41.33716544158729,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1962,41.59192404825655,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1963,41.8544042129233,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1964,42.134329236476454,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1965,42.43359756092322,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1966,42.75081385664392,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1967,43.073532113759605,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1968,43.39864356763715,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1969,43.72183570592195,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1970,44.03843284330598,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1971,44.15938553192107,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1972,44.214149397784354,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1973,44.25233086075005,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1974,44.27941785178642,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1975,44.322982818305576,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1976,44.38690124446191,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1977,44.44087955851674,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1978,44.48942468932991,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1979,44.539155450372604,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1980,44.59192185978978,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1981,44.50023975933917,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1982,44.347050237617125,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1983,44.19572069751722,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1984,44.05018930892389,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1985,43.91258684563558,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1986,43.78403789694787,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1987,43.66066059175574,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1988,43.53662802120493,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1989,43.4198152468282,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1990,43.32161402002039,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1991,43.2370294406664,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1992,43.10807236060505,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1993,42.991545884914515,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1994,42.8818896077255,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1995,42.785373375892,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1996,42.71240754261309,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1997,42.65665726163814,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1998,42.61839734351382,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,1999,42.589858501834584,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2000,42.57056433409549,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2001,42.56509100042326,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2002,42.631686911074915,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2003,42.75123995810774,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2004,42.88024273341894,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2005,43.00248549160922,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2006,43.12568877254533,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2007,43.26547602063665,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2008,43.397209014770084,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2009,43.50753035791532,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2010,43.62057806914406,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2011,43.55800986612721,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2012,43.42949615363187,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2013,43.31603238939606,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2014,43.18705916973779,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2015,43.052307734487364,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2016,42.95257758185004,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2017,42.890314668955156,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2018,42.85363692149047,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2019,42.870875081561984,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2020,42.99529794732316,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2021,43.22729195645657,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2022,43.49783685236825,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2023,43.74898670684551,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2024,43.98528331451227,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
ARG,Argentina,2025,44.23236527373289,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1960,21.214048124053157,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1961,21.407731502090908,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1962,21.559200964109664,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1963,21.60108133041892,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1964,21.630670587843785,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1965,21.683573178207304,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1966,21.758093460564602,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1967,21.845154380404658,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1968,21.92197559210987,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1969,21.94140198735587,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1970,21.94231337606552,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1971,21.936181056627284,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1972,21.944537361593202,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1973,21.96762367419442,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1974,22.023315682780954,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1975,22.092223534930643,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1976,22.12328748305233,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1977,22.145197999349087,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
FRA,France,1978,22.171164812823026,,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),wdi
