country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,104732,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1961,101900,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1962,101306,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1963,130571,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1964,168604,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1965,205000,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1966,250800,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1967,240860,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1968,223121,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1969,202800,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1970,214500,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1971,228608,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1972,237948,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1973,301989,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1974,295965,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1975,232209,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1976,281727,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1977,402723,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1978,541892,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1979,580657,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1980,400011,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1981,374777,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1982,488112,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1983,428064,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1984,322563,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1985,419470,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1986,422424,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1987,461568,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1988,496041,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1989,494683,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1990,560857,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1991,642362,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1992,745678,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1993,984908,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1994,999814,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1995,1175635,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1996,1290065,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1997,1389550,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
ARG,Argentina,1998,1165404,,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),wdi
