country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2013,5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2014,7.3,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2015,7.4,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2016,7.5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2017,7.5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2018,7.2,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2019,9.4,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2020,9.4,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2021,9.4,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2022,9.6,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2023,9.6,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2024,9.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ARG,Argentina,2025,9.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2013,6.5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2014,6.5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2015,6.5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2016,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2017,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2018,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2019,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2020,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2021,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2022,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2023,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2024,7.7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
IRN,Iran,2025,7,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2013,11.2,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2014,11.3,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2015,11.3,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2016,13.3,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2017,13.3,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2018,13.4,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2019,13.3,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2020,14,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2021,14.5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2022,14.5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2023,14.5,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2024,14.6,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
ITA,Italy,2025,14.8,,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),wdi
