country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,13.611244364855486,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1961,14.088121774818275,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1962,12.011114340145935,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1963,11.520060198216594,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1964,10.626694095332507,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1965,10.10666973963661,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1966,11.06047539909494,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1967,10.94357072743468,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1968,13.86592328832919,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1969,15.978501184798233,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1970,17.53874410242784,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1971,18.02169837354118,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1972,17.634526041236747,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1973,16.70557572458904,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1974,19.173808278179308,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1975,16.441349837726488,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1976,13.562767294777222,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1977,18.382909855152775,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1978,20.557117414511143,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1979,24.05622762780082,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1980,25.39579275105951,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1981,33.55230677826225,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1982,33.90637226861915,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1983,28.118275641611106,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1984,25.00099883679765,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1985,17.364141376060317,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1986,16.907229494896885,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1987,21.297314881087594,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1988,20.335835479281844,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1989,39.71749501914886,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1990,15.601694814211495,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1991,12.58720349071843,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1992,15.445335447407722,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1993,18.284604926741302,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1994,20.28057799875699,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1995,19.960607560891248,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1996,20.187001825281854,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1997,21.93345876343223,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1998,24.153298773282668,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,1999,24.89334374988978,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2000,23.894733619806214,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2001,20.833574652466027,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2002,15.331858404248514,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2003,10.762705917248699,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2004,9.682518196332225,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2005,10.653492918935887,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2006,11.91026166075606,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2007,13.098541349354445,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
ARG,Argentina,2008,12.313946714342004,,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),wdi
