country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2011,33.1302169855518,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ARG,Argentina,2014,50.1972944916064,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ARG,Argentina,2017,48.7084867377005,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ARG,Argentina,2021,71.6270859300586,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ARG,Argentina,2024,81.7442446865007,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRN,Iran,2011,73.683851106327,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRN,Iran,2014,92.2802532699244,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRN,Iran,2017,93.9819167043946,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRN,Iran,2021,89.9846708281017,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRN,Iran,2024,91.0610044635676,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ITA,Italy,2011,71.0085305189943,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ITA,Italy,2014,87.3345770658458,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ITA,Italy,2017,93.7850200329756,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ITA,Italy,2021,97.2945565478995,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ITA,Italy,2024,86.0191093278992,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
KOR,South Korea,2011,93.0468690333371,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
KOR,South Korea,2014,94.3608135378731,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
KOR,South Korea,2017,94.8510126919781,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
KOR,South Korea,2021,98.6713470938187,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
KOR,South Korea,2024,96.8949448884961,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
RUS,Russia,2011,48.1784884899677,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
RUS,Russia,2014,67.3830915085391,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
RUS,Russia,2017,75.7588881016081,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
RUS,Russia,2021,89.7193266222482,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
RUS,Russia,2024,79.3421267068262,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
SAU,Saudi Arabia,2011,46.4206603178861,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
SAU,Saudi Arabia,2014,69.4095879290349,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
SAU,Saudi Arabia,2017,71.6981165899467,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
SAU,Saudi Arabia,2021,74.320746724648,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
SAU,Saudi Arabia,2024,78.8409517231945,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ESP,Spain,2011,93.2776030316529,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ESP,Spain,2014,97.5753065847114,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ESP,Spain,2017,93.7557046938372,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ESP,Spain,2021,98.2984394535205,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
ESP,Spain,2024,98.3807416463989,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
TUR,Turkey,2011,57.6014257729643,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
TUR,Turkey,2014,56.6774865730574,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
TUR,Turkey,2017,68.5903080534789,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
TUR,Turkey,2021,74.0916612877286,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
TUR,Turkey,2024,81.5545478352063,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
USA,United States,2011,87.9578658638029,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
USA,United States,2014,93.5838007921263,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
USA,United States,2017,93.1221843138765,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
USA,United States,2021,94.9532296473716,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
USA,United States,2024,97.0230983290589,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
VEN,Venezuela,2011,44.1166616188675,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
VEN,Venezuela,2014,57.0263255388671,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
VEN,Venezuela,2017,73.494507088005,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
VEN,Venezuela,2021,84.3948009275794,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
VEN,Venezuela,2024,87.3184627954851,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRQ,Iraq,2011,10.5537448910017,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRQ,Iraq,2014,10.9723490698232,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRQ,Iraq,2017,22.6651525406859,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRQ,Iraq,2021,18.5652818204679,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
IRQ,Iraq,2024,30.1610517779513,,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),wdi
