country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2002,-5547400000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2003,12189185827.94,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2004,6714071262.55,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2014,88897200000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2015,23949100000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2016,71961500000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2017,146877200000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2018,850097441222.61,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2019,-682998414171.34,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2020,-1013505382746.95,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2021,271167265252.76,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2022,1485288607058.76,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2023,2076279234502.82,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ARG,Argentina,2024,21565345306636.1,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
FRA,France,1990,1189102334.4518,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
FRA,France,1991,4863123649.87339,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
FRA,France,1992,9009736918.73095,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
FRA,France,1993,6158940296.39138,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
FRA,France,1994,-17333453259.8936,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
DEU,Germany,1990,17961683786.4232,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
IRN,Iran,1999,3808335000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
IRN,Iran,2000,17527891022500,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
IRN,Iran,2001,9399465852500,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
IRN,Iran,2002,35404387700000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
IRN,Iran,2003,29214254000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
IRN,Iran,2004,44204544000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
IRN,Iran,2005,95652798000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
IRN,Iran,2006,93988690000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ITA,Italy,1991,-3296027929.9891,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1990,3695000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1991,2563000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1992,3458000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1993,5251000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1994,8224000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1995,8133000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1996,11368000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1997,18649000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1998,23520195000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,1999,22112141000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2000,20465484000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2001,3003401000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2002,-1031265000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2003,-21781448000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2004,1055506000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2005,3158100000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2006,4255700000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2007,-1518490000000.01,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2008,58330682000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2009,57364549000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2010,35454878000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2011,37548046000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2012,52248200000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2013,74407300000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2014,59962594038702,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2015,60302549416272.6,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2016,69183941154180,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2017,59751873942709,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2018,65997696736275,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2019,55275831702547.3,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2020,89759541143311.6,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2021,99762325921382.5,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2022,45526669986502.6,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2023,37733399182350,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
KOR,South Korea,2024,5571100582623,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
NLD,Netherlands,1990,-703359334.939715,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
NLD,Netherlands,1991,3013100634.83852,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
NLD,Netherlands,1992,462855820.411942,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
NLD,Netherlands,1993,-1497474713.09746,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
NLD,Netherlands,1994,-11045010459.634,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
PRT,Portugal,1990,-1472451392.14493,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
PRT,Portugal,1991,1569716982.0732,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
PRT,Portugal,1992,10973553.7354975,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
PRT,Portugal,1993,64863678.5347313,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
PRT,Portugal,1994,893247274.069493,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,1998,-13052000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,1999,87990000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2000,103071000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2001,-24784000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2002,102279000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2003,-79905687749.8599,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2004,670910461100,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2005,1298675612600,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2006,1564500000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2007,1953100000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2008,2502900000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2009,-1370600000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2010,-139200000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2011,2798000000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2012,2136400000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2013,1544400000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2014,500106424893.564,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2015,-1404739861401.34,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2016,-735072000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2017,1559706000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2018,4125030000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2019,5074820500000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2020,3330726000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2021,5418304000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2022,4310792000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2023,6924424000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
RUS,Russia,2024,5748900000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2016,-136744526574.5,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2017,-91673519521.5902,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2018,-65082000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2019,-17123000000,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2020,-73434979623,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2021,21049345018.14,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2022,161105765427.44,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2023,-12480773384.78,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
SAU,Saudi Arabia,2024,39184576004.7599,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1970,7754123503,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1971,-1953451318,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1990,8989338045.26823,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1991,1080018751.57766,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1992,1708076400.65871,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1993,14931544721.3107,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1994,-7432115682.80985,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1995,2349746628.47468,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1996,13124671193.2968,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1997,-3495874159.1533,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1998,5605308787.52636,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
ESP,Spain,1999,10164215609.3123,,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),wdi
