country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1990,573300000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1991,1459400000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1992,1210800000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1993,1238200000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1994,1284100000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1995,1957800000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1996,1292100000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1997,780900000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1998,584600000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,1999,358900000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2000,835600000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2001,590400000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2002,2466900000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2003,3861938070.2200003,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2004,5042903729.650002,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2005,5497500000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2006,6640700000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2007,8607800000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2008,11344000000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
ARG,Argentina,2009,12133600000,,GC.TAX.OTHR.CN,Other taxes (current LCU),wdi,false
