country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2010,178.160862314136,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ARG,Argentina,2015,179.697814478926,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ARG,Argentina,2020,189.491524954631,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ARG,Argentina,2025,195.432569635666,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
FRA,France,2010,243.652488057689,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
FRA,France,2015,246.119923623707,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
FRA,France,2020,245.58423634014,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
FRA,France,2025,249.204938408134,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
DEU,Germany,2010,241.999172233806,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
DEU,Germany,2015,248.227756220348,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
DEU,Germany,2020,250.982404180567,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
DEU,Germany,2025,256.082478102992,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
GRC,Greece,2010,203.950497918512,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
GRC,Greece,2015,203.444270350114,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
GRC,Greece,2020,215.018652169376,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
GRC,Greece,2025,221.360081586433,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
IRN,Iran,2010,129.653925666753,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
IRN,Iran,2015,138.658634774504,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
IRN,Iran,2020,153.929168991026,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
IRN,Iran,2025,154.072115138452,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ITA,Italy,2010,203.564814059777,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ITA,Italy,2015,209.497871066535,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ITA,Italy,2020,213.223932141405,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ITA,Italy,2025,219.607054046275,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
KOR,South Korea,2015,252.510495975871,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
KOR,South Korea,2020,257.821603217585,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
KOR,South Korea,2025,262.072778551207,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
NLD,Netherlands,2015,261.985124323966,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
NLD,Netherlands,2020,264.528201508041,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
NLD,Netherlands,2025,268.003112194339,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
PRT,Portugal,2010,228.330681875784,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
PRT,Portugal,2015,239.402387230332,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
PRT,Portugal,2020,246.344366702461,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
PRT,Portugal,2025,253.021046225481,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
RUS,Russia,2015,246.405653090175,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
RUS,Russia,2020,249.834337468187,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
RUS,Russia,2025,250.472157236979,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
SAU,Saudi Arabia,2015,154.306739051321,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
SAU,Saudi Arabia,2020,174.058932577719,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
SAU,Saudi Arabia,2025,184.243472218501,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ESP,Spain,2015,222.349308068086,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ESP,Spain,2020,233.195485514818,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ESP,Spain,2025,237.749314492814,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
SWE,Sweden,2010,261.498329226559,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
SWE,Sweden,2015,263.988591082184,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
SWE,Sweden,2020,268.355069920607,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
SWE,Sweden,2025,267.997685857567,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
TUR,Turkey,2010,142.931807588592,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
TUR,Turkey,2015,169.56811968423,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
TUR,Turkey,2020,190.66007303455,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
TUR,Turkey,2025,210.913634588817,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
GBR,United Kingdom,2010,248.887697366397,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
GBR,United Kingdom,2015,257.383720881332,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
GBR,United Kingdom,2020,262.373264850705,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
GBR,United Kingdom,2025,259.817211957059,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
USA,United States,2010,247.274014715845,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
USA,United States,2015,252.652143986474,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
USA,United States,2020,252.59441778424,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
USA,United States,2025,248.482187006661,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
VEN,Venezuela,2010,175.846224994289,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
VEN,Venezuela,2015,176.653859838553,,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)",wdi
ARG,Argentina,2010,183.599338228921,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
ARG,Argentina,2015,186.483381381522,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
ARG,Argentina,2020,194.668553837877,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
ARG,Argentina,2025,199.918168428304,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
FRA,France,2010,237.658617901571,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
FRA,France,2015,244.235785647078,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
FRA,France,2020,245.297780017728,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
FRA,France,2025,251.244449185312,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
DEU,Germany,2010,244.007882285771,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
DEU,Germany,2015,250.485836207966,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
DEU,Germany,2020,252.960465802358,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
DEU,Germany,2025,257.354609424053,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
GRC,Greece,2010,211.256395794171,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
GRC,Greece,2015,205.268986123496,,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)",wdi
