country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,138759047067.0575,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1961,152223625851.95978,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1962,146372373267.36063,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1963,137812687543.4177,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1964,156700615605.06625,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1965,168743936327.70105,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1966,166077097542.00928,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1967,171375764335.94135,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1968,180667726661.65982,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1969,197975446866.6329,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1970,202150119347.3055,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1971,215120275354.8224,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1972,218073435243.17688,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1973,223425086761.46594,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1974,236487427846.22083,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1975,237302838702.29886,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1976,227684822540.0248,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1977,242527951294.16974,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1978,230537813319.8566,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
ARG,Argentina,1979,259985432828.68332,,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),wdi
