country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,7.604046979123239,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1961,5.994945316193974,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1962,9.38368289056535,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1963,7.890452032750267,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1964,5.563714074763677,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1965,4.150582972280581,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1966,4.989688033541586,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1967,4.997064146668649,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1968,5.403711422519082,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1969,6.398713316529901,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1970,4.735877404919267,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1971,6.607956034255038,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1972,6.837877358187998,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1973,5.709500790365444,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1974,6.289009060022245,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1975,5.9786724961196365,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1976,5.921496327850122,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1977,7.326394155221644,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1978,5.715406434322107,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1979,6.3297691743793765,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1980,6.483699779569177,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1981,7.371927998573451,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1982,6.520993021393433,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1983,5.8361494200383595,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1984,4.756486117432863,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1985,6.273327049952875,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1986,6.324055247844072,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1987,7.575764069551652,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1988,6.21184563577101,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1989,6.579388793319714,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1990,4.631322407417753,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1991,6.078010810566982,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1992,8.132793114315644,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1993,9.313799914075634,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1994,10.604397141081417,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1995,10.09101283078536,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1996,11.07787164970756,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1997,12.775328741817734,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1998,12.934446011976988,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,1999,11.555570447547465,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2000,11.636069545176655,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2001,10.273247369013582,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2002,13.370127359395994,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2003,14.7138051046861,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2004,16.845026684957805,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2005,17.305394236766247,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2006,17.406785268103604,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2007,18.2824203070644,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2008,18.341772996413997,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2009,14.49614184940606,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2010,16.03718985819868,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2011,16.756945854648876,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2012,14.28868290968624,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2013,14.716755613665145,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2014,14.001315055851881,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2015,11.780574038525392,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2016,13.566792679878922,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2017,13.96931777800452,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2018,16.325850205089225,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2019,14.705736668003688,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2020,13.598284370167537,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2021,15.011980398429506,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2022,15.29851153530021,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2023,13.854639152116736,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2024,12.680012256484618,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
ARG,Argentina,2025,14.808972563333322,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1960,12.840554536974494,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1961,12.71621180497166,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1962,12.401540717705885,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1963,12.695543262048872,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1964,13.411371855787541,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1965,12.870705815447481,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1966,13.491966057977603,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1967,13.638480907836911,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1968,13.932221235832113,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1969,15.270276093889162,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1970,16.008363678928372,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1971,16.083704962434552,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1972,16.427974721730184,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1973,17.51660053445623,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1974,22.499040058966425,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1975,18.511415005122377,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1976,20.976250901412786,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1977,21.07396600014741,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1978,19.837803575111877,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1979,20.922830607370617,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1980,23.24357415262808,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1981,24.29531754498032,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1982,24.758343018257374,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1983,23.54939701657079,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1984,24.49495848402985,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1985,24.46808780291663,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1986,21.12021796019869,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1987,21.39165996495237,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1988,21.802385055286194,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1989,23.21100513862351,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1990,22.59758568884996,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1991,22.53943128811183,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1992,21.517950603772,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1993,19.909306926993846,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1994,21.00083685689645,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1995,21.742006771448136,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1996,21.989477404375087,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1997,23.1731284270416,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1998,24.168665699683345,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,1999,24.463684139603828,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,2000,28.027998042506862,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
FRA,France,2001,27.462629346130303,,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),wdi
