country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1965,56148447439,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1966,56638990737,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1967,59778457057,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1968,63146582649,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1969,70439038133,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1970,68627551538.99999,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1971,72859113841,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1972,75769528740,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1973,78774731035,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1974,83402045202,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1975,81272975704,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1976,78807367438,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1977,84965128240,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1978,76024568503,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1979,83584967809,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1980,85438315282,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1981,75125185888,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1982,73010248924,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1983,77988015611,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1984,79918149813,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1985,72365939906,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1986,79639641218,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1987,80498973446,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1988,76558646447,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1989,70826501575,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1990,66996872162,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1991,73948578700,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1992,81482987800,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1993,84360220400,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1994,88156123300,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1995,81840101500,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1996,87120324800,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1997,95093083400,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1998,96851122500,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,1999,89171925500,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2000,85762688100,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2001,79448849800,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2002,70745052900,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2003,82041048500,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2004,91866330500,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2005,98685714500,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2006,107665903700,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2007,115777417900,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2008,119969834500,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2009,111260235200,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2010,123396437200,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2011,132856759599.99998,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2012,128986208700,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2013,130925557200,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2014,124308517500,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2015,125260636700,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2016,118244613400,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2017,121288313100,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2018,115460503600,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2019,108352119400,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2020,100012849800,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2021,115784762900,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2022,121258574700,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2023,118789351900,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2024,108319076100,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
ARG,Argentina,2025,109236001000,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
IRN,Iran,1960,257676302504862,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
IRN,Iran,1961,278290406705250.97,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
IRN,Iran,1962,323908655815371,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
IRN,Iran,1963,354829812115954,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
IRN,Iran,1964,374871302310777,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
IRN,Iran,1965,418962580739386,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
IRN,Iran,1966,483286220698008,,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)",wdi
