country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1965,56245012313.71906,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1966,56869181038.33573,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1967,59275361622.1084,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1968,64891232918.50349,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1969,72383684858.58662,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1970,71710335092.52043,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1971,76249072958.18219,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1972,78631013039.2615,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1973,79264576069.95996,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1974,84050177434.70757,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1975,83133183637.85358,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1976,83595112297.58273,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1977,90808609667.96677,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1978,83239803731.45218,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1979,89517254657.81947,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1980,88363421591.33493,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1981,78940934579.2696,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
ARG,Argentina,1982,76407419048.49344,,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)",wdi
