country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1965,90988369136,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1966,89597980546,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1967,91874749132,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1968,93565683659,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1969,101825648100,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1970,112607851470,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1971,118181417560,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1972,118952353970,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1973,123485904770,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1974,129981902440,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1975,131252661050,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1976,126788116500,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1977,134454687100.00002,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1978,132049390410,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1979,146628086450,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1980,158986969350,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1981,155309255960,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1982,154298964050,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1983,160250570840,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1984,163476614190,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
ARG,Argentina,1985,157199422860,,NV.SRV.TOTL.KN,"Services, value added (constant LCU)",wdi
