country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1990,8299256578.90556,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1991,11276866215.157,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1992,16242281374.6437,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1993,22523168446.4712,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1994,22412965243.422,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1995,19840156595.8334,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1996,24337704766.949,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1997,22555552119.1614,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1998,23638980579.6919,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,1999,12575910723.3591,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2000,12850375650.7287,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2001,12600357773.5723,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2002,5305554014.22747,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2003,10624082995.4705,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2004,2049213941.25387,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2005,2780080927.77127,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2006,22623829396.641,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2007,34230349386.3627,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2008,39290028580.9156,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2009,27641823084.6028,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2010,31599458896.2747,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2011,39196120334.4232,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2012,31904883701.9809,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2013,26418487752.9677,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2014,26434521184.7628,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2015,32977517501.9592,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2016,30915834658.8448,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2017,35483431846.3074,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2018,11304263719.818,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2019,15535574715.83,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2020,29856951230.7239,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ARG,Argentina,2021,56117225677.7294,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,1990,-2109408341.26229,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,1993,2738113114.90368,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,1994,4408724019.41656,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,1995,7791530132.37717,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,1996,17494259273.4601,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,1997,12743234121.4882,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,1998,8849323513.73316,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,1999,16119507440.2027,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
IRN,Iran,2000,11571548972.0852,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1990,112437971424.789,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1991,106460870302.403,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1992,110363909784.444,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1993,97944976947.2914,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1994,100255198541.472,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1995,131838350082.016,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1996,154728285434.134,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1997,146819760239.459,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1998,135255888049.295,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,1999,125392614136.79,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2000,104800453852.877,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2001,114821870553.713,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2002,119404364437.572,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2003,138427828456.642,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2004,161473626152.94,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2005,147546086005.584,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2006,162234489941.013,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2007,182630827431.415,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2008,147873432647.984,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2009,87686120368.7473,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
ITA,Italy,2010,69028402837.5042,,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",wdi,false
