country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1976,17422552953.734344,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1977,18458203479.99078,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1978,26838341677.676617,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1979,17462734259.44149,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1980,17692338124.42818,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1981,15641158356.026056,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1982,15477673255.115261,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1983,19275259160.2524,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1984,20602121164.633095,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1986,15651527499.076555,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1987,16536806032.120865,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1989,10444771785.64657,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1990,22677736729.08946,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1991,25729551127.425274,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1992,31232080576.434273,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1993,38471778478.47848,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1994,40285144300,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1995,42605253700,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1996,46619462700,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1997,48802850871.84219,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1998,48219558501.99696,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,1999,38734675164.8396,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2000,40835638747.95039,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2001,38192751717.45135,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2002,20857407079.97249,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2003,27730432866.98571,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2004,22694530662.548367,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2005,27244092749.727074,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2006,49807322359.780426,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2007,63922184458.35075,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2008,76385652054.59694,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2009,61005841447.75421,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2010,73422493893.102,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2011,91893455324.47101,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2012,88503443529.7271,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2013,83877274305.64827,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2014,83732342205.43867,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2015,85083805640.30875,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2016,81523797453.17603,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2017,84114820125.11887,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2018,59797534612.08458,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2019,61301177828.97398,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2020,57907887106.51882,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2021,94456175545.37457,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2022,106756569386.65076,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2023,105432811355.85187,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2024,106588624003.93443,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
ARG,Argentina,2025,91372608880.03027,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1975,93617538394.93335,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1976,95813493825.3085,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1977,104859107427.31715,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1978,129766407976.70987,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1979,157201805559.97806,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1980,174127755490.79266,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1981,137719490321.99603,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1982,123296936074.67432,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1983,115738793772.48174,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1984,108808657089.22955,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1985,113157566711.6262,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1986,168017687472.58456,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1987,202117698149.10147,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1988,233161786665.01932,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1989,239588978320.65564,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1990,296486241496.40393,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1991,292126706850.15875,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
FRA,France,1992,313317733798.9295,,NY.GNS.ICTR.CD,Gross savings (current US$),wdi,false
