country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1960,0.0034035593,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1961,0.0043160915,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1962,0.0055161417,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1963,0.0065590739,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1964,0.0093024075,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1965,0.0124699772,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1966,0.0244800448,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1967,0.0028899909,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1968,-0.0137299895,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1969,-0.0076899528,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1970,-0.0451399088,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1971,0.017070055,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1972,-0.0426800251,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1973,0.0160398484,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1974,0.0218801498,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
ARG,Argentina,1975,0.2625007629,,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),wdi,false
