country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1970,8.57706,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,1974,8.01347,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,1975,8.14429,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,1991,9.78719,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,1998,6.90881,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,1999,10.11659,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2000,10.19093,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2001,10.37059,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2002,10.82,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2003,11.15322,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2004,11.73414,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2005,11.49189,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2006,11.88405,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2007,12.19147,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2008,12.25832,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2009,12.17224,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2010,11.71784,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2011,10.91888,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2012,10.1458,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2013,9.08007,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2014,8.44527,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2015,8.02634,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2016,7.63249,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
ARG,Argentina,2017,6.75196,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1971,14.32184,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1972,12.36122,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1977,11.09076,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1979,8.7973,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1980,8.74265,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1982,8.91637,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1983,9.1756,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1985,9.12167,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1986,9.10223,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1987,8.12837,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1988,7.17514,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1989,6.70179,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1990,5.99337,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1991,5.74196,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1992,5.56485,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1993,5.15729,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1994,5.33604,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1995,4.78307,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1996,4.56431,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1997,3.99499,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,1999,3.89619,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2000,3.90275,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2001,3.94958,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2002,3.89087,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2003,3.87514,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2004,3.79289,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2005,4.33319,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2006,4.1827,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2007,4.07561,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2008,4.25946,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2009,4.11709,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2010,4.19402,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2011,3.38931,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2012,3.36229,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2013,3.12192,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2014,2.90522,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2015,2.77731,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2016,2.63535,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
FRA,France,2017,2.37155,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2001,17.33323,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2002,16.33651,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2003,15.69226,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2004,15.09087,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2005,14.58509,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2006,14.24988,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2007,14.2843,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2008,14.07769,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2009,13.84554,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2010,12.80193,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2011,12.67761,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2012,12.21534,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2013,11.7432,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2014,11.55221,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2015,11.24342,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2016,11.00283,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
DEU,Germany,2017,10.88239,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1971,3.94812,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1972,4.00683,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1973,3.56112,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1974,3.01882,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1975,2.72653,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1976,2.43393,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1977,2.30512,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1978,2.06795,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1979,1.9588,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1980,1.79279,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1981,1.62598,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1982,1.4724,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1983,1.21375,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1984,1.09428,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1985,0.92795,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1986,0.73295,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1987,0.31633,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1988,0.29609,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1989,0.28384,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1990,0.31814,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1991,0.3777,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1992,0.423,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1993,0.43611,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1994,0.51045,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1995,0.42061,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1996,0.36987,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1997,1.30045,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1998,1.62876,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,1999,1.61332,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2000,1.68792,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2001,1.77694,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2002,1.99743,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2003,1.97104,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2004,1.7287,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2005,1.71973,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2006,1.80184,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2007,1.36231,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2010,1.53276,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2011,1.20976,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2012,1.24783,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2013,1.22882,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2014,1.15924,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2015,1.32378,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2016,1.14675,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
GRC,Greece,2017,1.11669,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1984,15.10525,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1985,15.09996,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1986,15.1,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1987,15.09997,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1988,14.87413,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1989,14.87358,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1990,11.34629,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1992,10.89002,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1997,7.33407,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,1999,13.83662,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,2000,13.83662,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,2002,6.00195,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
IRN,Iran,2003,6.00193,,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",wdi
