country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1970,75.2336196899414,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,1973,77.5387802124023,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,1974,72.6144409179688,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,1975,75.8264312744141,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,1996,70.1163864135742,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,1998,90.4637069702148,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,1999,96.2877807617188,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2000,92.9591522216797,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2001,92.108757019043,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2002,84.2322235107422,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2003,96.3128890991211,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2004,89.6829605102539,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2005,95.9879302978516,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2006,96.3018188476562,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2007,98.1681365966797,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2008,95.3454208374023,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2009,96.5689086914062,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2010,94.8981628417969,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2011,97.3665618896484,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2012,95.9745483398438,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2013,97.1126403808594,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2014,96.3750915527344,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2015,98.2601165771484,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2016,95.4963684082031,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2017,95.5091934204102,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2018,95.0482788085938,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2019,95.2035675048828,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2020,96.9821929931641,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2021,96.7061996459961,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ARG,Argentina,2022,98.0278167724609,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1971,86.9061889648438,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1974,87.556640625,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1975,88.8377685546875,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1976,90.5382308959961,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1977,94.6801300048828,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1978,94.9125671386719,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1979,94.4887771606445,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1985,99.5,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1986,94.9095306396484,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1987,94.6691207885742,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1988,95.1795501708984,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1989,96.45556640625,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1990,96.6000518798828,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1991,96.3792266845703,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
FRA,France,1999,97.9584808349609,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1971,94.9567413330078,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1972,96.2157592773438,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1973,95.2781600952148,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1974,93.7165832519531,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1975,97.95458984375,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1976,97.9619293212891,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1977,97.271110534668,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1978,97.3620300292969,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1979,93.8928070068359,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1980,98.2727279663086,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1981,98.3048324584961,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1982,99.0941619873047,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1983,99.3174133300781,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1984,99.8453826904297,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1985,98.955680847168,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1986,94.0087203979492,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1987,99.2075424194336,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1988,97.8070983886719,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,1991,99.3194885253906,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2004,97.9496688842773,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2005,97.7508163452148,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2006,97.6005325317383,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2010,93.7138519287109,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2011,95.1337814331055,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2012,92.1032104492188,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2013,93.030517578125,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2015,96.1793823242188,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2016,98.8203201293945,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2017,98.1363296508789,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2018,99.5101089477539,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2019,99.6374664306641,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2020,99.5314102172852,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2021,96.4652099609375,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
GRC,Greece,2022,99.7976608276367,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1983,83.0669937133789,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1984,85.2288208007812,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1985,84.4175033569336,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1986,83.1776885986328,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1987,86.9359588623047,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1988,88.7242889404297,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1989,90.5771331787109,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1990,90.7558670043945,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1991,89.9411697387695,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1992,90.5938491821289,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1993,89.1199188232422,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,1994,90.3600082397461,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2000,97.444091796875,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2001,93.7291564941406,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2002,87.5167388916016,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2008,96.3031463623047,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2009,93.1631317138672,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2010,98.1307067871094,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2011,96.1757736206055,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2013,86.181282043457,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2014,98.370231628418,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2015,98.3658599853516,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2016,97.3869094848633,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
IRN,Iran,2022,96.1813201904297,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,1999,93.845703125,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2001,95.8191528320312,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2004,99.7116165161133,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2005,99.4008636474609,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2006,99.498649597168,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2007,99.574821472168,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2008,99.6605606079102,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2009,99.6420211791992,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2010,99.5177536010742,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2011,99.3345489501953,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2012,98.9404373168945,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2013,99.4176635742188,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2014,99.1757202148438,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2015,99.2369613647461,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2016,99.7548294067383,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2017,99.7647094726562,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2018,99.8151092529297,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2019,99.8667831420898,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2020,99.1628799438477,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2021,99.8192977905273,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
ITA,Italy,2022,99.8990097045898,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
KOR,South Korea,1971,96.3216018676758,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
KOR,South Korea,1972,93.3955230712891,,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",wdi
