country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1970,10.01574,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,1971,9.06631,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,1975,7.65371,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,1976,7.11734,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,1996,4.73369,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,1997,4.33888,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,1998,4.51667,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,1999,4.87716,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2000,5.02764,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2001,5.17353,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2002,4.89695,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2003,5.14743,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2004,5.17328,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2005,5.1487,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2006,5.31301,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2007,4.86911,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2008,4.59795,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2009,4.11543,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2010,3.74523,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2011,3.29909,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2012,2.91881,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2013,2.28328,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2014,1.71375,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2015,1.59519,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2016,1.86174,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
ARG,Argentina,2017,3.15431,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
FRA,France,1971,12.03329,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
FRA,France,1972,11.0812,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,1993,1.55182,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,1994,1.56838,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,1995,1.51905,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,1996,1.4891,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,1997,1.51134,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,1999,1.51736,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,2000,1.545,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,2001,1.56107,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,2002,1.58998,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,2003,1.5116,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,2004,1.34246,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,2005,1.27067,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,2006,1.0673,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
DEU,Germany,2007,1.07779,,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",wdi
