country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1998,12.53895,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,1999,13.69002,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2000,12.5407,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2001,19.27351,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2002,18.71463,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2003,19.1731,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2004,20.17187,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2005,20.31235,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2006,19.0436,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2007,17.94619,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
ARG,Argentina,2008,16.31017,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,1997,31.91112,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2004,19.40511,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2005,18.71384,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2006,19.02082,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2007,20.11389,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2008,21.69293,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2013,16.32059,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2014,16.05594,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2016,21.08631,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
IRN,Iran,2017,21.32551,,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",wdi
