country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1970,29.73252,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,1973,28.74709,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,1974,29.05048,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,1998,97.21217,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,1999,98.20092,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2000,97.69371,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2001,97.39566,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2002,96.5178,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2003,96.70928,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2004,95.86633,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2005,95.38558,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2006,94.96292,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2007,95.16004,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2008,95.31151,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2009,95.87691,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2010,96.17801,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2011,96.62407,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2012,96.84399,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2013,97.31649,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2014,97.40726,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2015,99.48824,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ARG,Argentina,2016,99.85158,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1983,86.01314,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1984,86.53229,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1985,86.76316,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1986,83.10997,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1987,84.78703,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1988,86.44414,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1989,86.34443,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1990,87.75238,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1992,90.6795,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,1993,91.71548,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2000,92.31886,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2001,92.57058,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2002,97.15344,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2003,99.09905,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2004,90.968,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2005,89.00199,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2006,96.12427,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2007,97.77892,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2008,99.37072,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2009,96.42986,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2010,97.32675,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2011,97.0223,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
IRN,Iran,2016,95.73712,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1971,94.29668,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1972,95.95765,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1973,96.74479,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1974,97.19646,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1975,97.99977,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1976,97.89369,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1977,98.72519,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1978,99.06099,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1979,99.3225,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1980,99.28311,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1981,99.27574,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1982,99.18871,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1983,99.34742,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1984,99.28792,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1985,99.48355,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1986,99.4532,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1987,97.59747,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1988,98.21497,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1989,97.564,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1990,98.11502,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1991,99.69248,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1994,97.60877,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1995,99.81947,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1996,99.63163,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,1999,96.70295,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2000,99.77574,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2001,99.805,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2002,99.83511,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2003,99.59101,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2004,99.63237,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2005,99.35534,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2006,99.68376,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2007,99.9629,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2008,99.94487,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2009,99.94359,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2010,99.94311,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2011,99.81212,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2012,99.89623,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
ITA,Italy,2013,99.88062,,SE.SEC.PROG.ZS,Progression to secondary school (%),wdi
