country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1992,2.048,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,1994,2.138,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2012,2.49,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2013,2.728,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2014,2.952,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2015,3.172,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2016,3.408,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2017,3.645,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2018,3.889,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2019,4.143,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2020,4.351,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2021,4.618,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2022,4.772,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ARG,Argentina,2023,4.749,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2004,1.37,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2005,1.365,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2006,1.624,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2011,1.902,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2014,1.487,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2015,1.796,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2017,2.494,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2018,1.973,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
IRN,Iran,2023,2.876,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2000,5.707,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2001,5.755,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2002,5.817,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2003,5.454,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2004,5.327,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2005,5.189,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2006,5.352,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2007,5.476,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2008,5.47,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
ITA,Italy,2009,5.466,,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",wdi
