country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1995,44,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,1996,46.9,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,1997,38.3,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,1998,38.1,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,1999,41.1,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2000,34.9,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2001,43.5,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2002,46.1,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2003,43.6,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2004,40.1,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2005,39.2,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2006,47.8,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2007,43.7,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2008,39.7,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2009,55,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2010,43.8,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2011,39.8,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2012,34.9,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
ARG,Argentina,2013,32.5,,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)",wdi
