country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1994,11.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
ARG,Argentina,1996,13.5,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
ARG,Argentina,2005,9,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
ARG,Argentina,2018,12.4,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
DEU,Germany,2004,3.9,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
DEU,Germany,2016,2.9,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GRC,Greece,2003,13.6,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
IRN,Iran,1995,5.5,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
IRN,Iran,1998,6.9,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
IRN,Iran,2017,2.9,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
KOR,South Korea,2003,6.2,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
KOR,South Korea,2008,9.6,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
KOR,South Korea,2011,8,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
KOR,South Korea,2014,5.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
KOR,South Korea,2017,4.3,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
KOR,South Korea,2020,6.2,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
NLD,Netherlands,1996,2.7,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
NLD,Netherlands,2009,3.8,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
PRT,Portugal,2016,7.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,1995,17.3,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,1996,13.8,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,1998,17.7,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,2000,14.5,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,2001,15.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,2002,15.5,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,2003,14.6,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,2004,17.4,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
RUS,Russia,2005,16.9,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
SAU,Saudi Arabia,1994,1.2,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
SAU,Saudi Arabia,2004,6.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
SAU,Saudi Arabia,2015,12.8,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
SAU,Saudi Arabia,2016,14.3,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
SAU,Saudi Arabia,2017,12.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
SAU,Saudi Arabia,2018,11.3,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
SAU,Saudi Arabia,2019,12.6,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
SAU,Saudi Arabia,2020,11.6,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
TUR,Turkey,1993,4.9,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
TUR,Turkey,1998,3.8,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
TUR,Turkey,2004,8.8,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
TUR,Turkey,2008,9.8,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
TUR,Turkey,2013,11.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
TUR,Turkey,2018,8.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2007,7,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2008,6.7,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2009,6.6,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2010,8.9,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2011,6.7,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2012,6.5,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2013,7.7,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2014,6.5,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2015,16,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2016,6.3,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2017,9.8,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2018,6.5,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
GBR,United Kingdom,2019,6.5,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
USA,United States,1991,6.1,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
USA,United States,2000,8.3,,SH.STA.OWGH.ZS,"Prevalence of overweight, weight for height (% of children under 5)",wdi
