country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2000,10.2,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2001,9.9,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2002,9.6,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2003,9.4,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2004,9.1,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2005,8.7,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2006,8.3,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2007,8.1,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2008,7.9,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2009,7.8,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2010,7.7,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2011,7.6,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2012,7.7,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2013,7.9,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
ARG,Argentina,2014,8.1,,SH.STA.STNT.ME.MA.ZS,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",wdi
