country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2000,9.17,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2001,10.33,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2002,10.31,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2003,9.74,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2004,8.75,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2005,8.64,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2006,8.61,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2007,8.31,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2008,8.67,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2009,8.44,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2010,8.54,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2011,8.63,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2012,9.28,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2013,8.81,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2014,9.53,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2015,8.77,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2016,8.41,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2017,9.03,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2018,9.33,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2019,9.28,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2020,8.12,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ARG,Argentina,2021,7.94,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2000,6.03,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2001,5.87,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2002,5.69,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2003,5.1,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2004,5.2,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2005,4.92,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2006,4.83,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2007,5.41,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2008,5.28,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2009,5.1,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2010,4.96,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2011,4.84,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2012,4.52,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2013,4.68,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2014,4.93,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2015,4.66,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2016,4.72,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2017,4.5,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2018,4.33,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2019,4.27,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2020,3.4,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
IRN,Iran,2021,4.07,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2000,7.67,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2001,7.49,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2002,7.57,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2003,7.45,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2004,7.22,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2005,6.76,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2006,6.77,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2007,6.75,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2008,6.99,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2009,7.1,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2010,7,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2011,7.46,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2012,7.65,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2013,7.6,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2014,7.3,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2015,7.2,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2016,6.62,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2017,7.06,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2018,6.89,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2019,6.77,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2020,6.77,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
ITA,Italy,2021,6.99,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2000,15.06,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2001,16.14,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2002,19.56,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2003,24.9,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2004,26.21,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2005,27.58,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2006,24.45,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2007,27.55,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2008,29.29,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2009,35.12,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2010,34.92,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2011,35.49,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2012,31.01,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2013,31.21,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2014,29.35,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2015,28.23,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2016,27.06,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2017,25.61,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2018,28.28,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2019,28.44,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2020,27.16,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
KOR,South Korea,2021,27.53,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2000,53.06,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2001,51.79,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2002,50.72,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2003,49.35,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2004,47.44,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2005,45.17,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2006,41.44,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2007,39.63,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2008,38.39,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2009,36.84,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2010,35.78,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2011,34.61,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2012,33.6,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2013,32.83,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2014,32.61,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2015,31.12,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2016,30.2,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
RUS,Russia,2017,27.3,,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)",wdi
