country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2000,11.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2001,11.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2002,9.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2003,9.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2004,10.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2005,11.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2006,13.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2007,14.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2008,14.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2009,13.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2010,12.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2011,13.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2012,13.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2013,14.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2014,13.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2015,13.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2016,14.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2017,14,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2018,13.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
ARG,Argentina,2019,14.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2000,13.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2001,13.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2002,12.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2003,10.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2004,8.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2005,9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2006,7.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2007,7.7,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2008,7.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2009,7,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2010,6.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2011,6.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2012,5.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2013,5.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2014,5.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2015,5.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2016,5.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2017,5.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2018,5.2,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
FRA,France,2019,5.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2000,9.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2001,8.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2002,8.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2003,8.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2004,7.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2005,6.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2006,6.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2007,6.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2008,5.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2009,5.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2010,4.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2011,5.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2012,4.7,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2013,4.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2014,4.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2015,4.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2016,4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2017,4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2018,4.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
DEU,Germany,2019,3.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2000,19.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2001,18.2,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2002,16.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2003,15.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2004,17.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2005,16.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2006,16,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2007,16.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2008,15.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2009,14.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2010,13.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2011,12.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2012,11.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2013,10.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2014,9.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2015,9.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2016,9.7,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2017,8.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2018,8.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
GRC,Greece,2019,8.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2000,26.8,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2001,30.6,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2002,33.5,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2003,38.9,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2004,39,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2005,41,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2006,40.3,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2007,33.1,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
IRN,Iran,2008,33.4,,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)",wdi
