country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,2000,384.34409569,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2001,357.62808331,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2002,116.35328229,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2003,141.90096464,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2004,147.02607246,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2005,201.14393658,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2006,239.22822406,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2007,307.40615582,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2008,405.0315394,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2009,473.09602805,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2010,575.33511088,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2011,726.63572225,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2012,847.22902495,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2013,906.6709457,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2014,844.26234118,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2015,1009.11611293,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2016,835.37317412,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2017,971.19362879,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2018,718.21522553,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2019,619.19929423,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2020,596.68757433,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2021,681.66021311,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2022,830.15628961,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
ARG,Argentina,2023,877.48707575,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2000,1572.29592159,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2001,1595.38415234,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2002,1788.37250336,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2003,2183.64314549,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2004,2512.53966384,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2005,2593.6073291,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2006,2716.63050663,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2007,3065.91108961,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2008,3395.28622912,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2009,3348.50447346,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2010,3199.37990496,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2011,3429.84260563,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2012,3243.67923689,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2013,3430.2052447,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2014,3493.96311431,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2015,3026.14036622,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2016,3192.09516521,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2017,3338.45429733,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2018,3527.07139554,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2019,3370.96404977,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2020,3632.97014242,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2021,4051.64141165,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2022,3657.48328114,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2023,3486.60883115,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
FRA,France,2024,3645.42880252,,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$),wdi,false
