country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2000,45.23767471,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2001,45.68281937,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2002,45.12362289,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2003,45.3560257,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2004,45.1451416,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2005,48.01793289,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2006,47.22160721,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2007,45.77174759,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2008,44.74361801,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2009,39.66122055,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2010,40.984478,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2011,39.28659439,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2012,37.33333206,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2013,36.10850525,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2014,34.09888077,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2015,33.49847794,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2016,34.29650497,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2017,34.42665482,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2018,39.64505005,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2019,38.31008911,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2020,34.29720306,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2021,41.22537994,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2022,40.15216827,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
ARG,Argentina,2023,38.92549896,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2000,62.28549957,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2001,61.65391922,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2002,60.64569855,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2003,60.54909897,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2004,63.31456375,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2005,62.75682831,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2006,58.23841858,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2007,60.11624908,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2008,62.86645508,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2009,63.34333801,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2010,67.63965607,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2011,66.68308258,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2012,66.44374847,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2013,62.09032059,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2014,51.90977478,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2015,49.64713287,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2016,47.10972595,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2017,45.64050293,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
IRN,Iran,2018,52.21618271,,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure),wdi
