country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2000,74,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2001,74,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2002,75,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2003,76,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2004,76,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2005,77,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2006,77,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2007,77,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2008,78,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2009,78,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2010,78,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2011,78,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2012,79,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2013,80,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2014,80,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2015,81,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2016,81,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2017,80,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2018,79,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2019,79,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2020,79,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2021,80,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2022,80,,SH_UHC_SCI,UHC service coverage index,wdi
ARG,Argentina,2023,80,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2000,68,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2001,69,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2002,69,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2003,69,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2004,70,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2005,70,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2006,70,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2007,71,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2008,72,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2009,72,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2010,73,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2011,73,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2012,76,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2013,77,,SH_UHC_SCI,UHC service coverage index,wdi
IRN,Iran,2014,77,,SH_UHC_SCI,UHC service coverage index,wdi
