country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1980,30.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1986,32.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1987,34.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1991,36.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1992,34.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1993,33.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1994,34.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1995,37,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1996,36.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1997,36.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1998,38,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,1999,37,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2000,37.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2001,39.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2002,40.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2003,37.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2004,35.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2005,35,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2006,33.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2007,33.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2008,32.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2009,31.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2010,31.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2011,31,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2012,29.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2013,29.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2014,30.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2016,30.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2017,30,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2018,30.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2019,31.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2020,30.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2021,31.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2022,29.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2023,31,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ARG,Argentina,2024,31.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1970,28.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1975,28,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1979,26.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1984,26.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1990,25.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1996,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1997,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1998,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,1999,25.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2000,25.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2001,25.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2002,25,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2003,25.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2004,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2005,23.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2006,23.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2007,26.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2008,26.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2009,26.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2010,27.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2011,26.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2012,26.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2013,26.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2014,26.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2015,26.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2016,25.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2017,25.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2018,26.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2019,24.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2020,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2021,24.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2022,24.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
FRA,France,2023,25,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1991,23,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1992,23.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1993,22.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1994,22.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1995,22.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1996,22.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1997,22.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1998,22.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,1999,23.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2000,22.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2001,23.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2002,23.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2003,23.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2004,24,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2005,25.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2006,24.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2007,25.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2008,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2009,24.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2010,24.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2011,24.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2012,24.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2013,24.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2014,24,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2015,24.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2016,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2017,24.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2018,25.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2019,25.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2020,25.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2021,26.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
DEU,Germany,2022,26.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,1995,27.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2000,26,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2002,27.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2003,24.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2004,25.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2005,26.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2006,26.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2007,26,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2008,26,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2009,26,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2010,25.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2011,25.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2012,26.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2013,26.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2014,26.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2015,26.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2016,25.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2017,25.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2018,24.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2019,24.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2020,25.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2021,24.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2022,25.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
GRC,Greece,2023,26,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,1986,36.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,1990,33.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,1994,33.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,1998,33.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2005,33.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2006,34,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2009,31.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2011,26.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2012,26.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2013,26.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2014,27.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2015,27.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2016,28.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2017,28.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2018,29.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2019,28.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2020,27.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2021,27.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2022,26.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
IRN,Iran,2023,28.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1977,25.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1978,25.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1979,25.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1980,25.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1981,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1982,22.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1983,22.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1984,23.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1986,23.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1987,25,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1989,24.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1991,23.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1993,25.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1995,26.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,1998,27.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2000,26.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2002,25.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2003,26.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2004,26.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2005,25.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2006,25.6,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2007,24.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2008,25.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2009,25.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2010,26.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2011,26.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2012,26.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2013,25.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2014,25.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2015,25.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2016,26,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2017,26.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2018,25.9,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2019,25.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2020,26.1,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2021,26.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2022,25.3,,SI.DST.10TH.10,Income share held by highest 10%,wdi
ITA,Italy,2023,25.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
KOR,South Korea,2006,24,,SI.DST.10TH.10,Income share held by highest 10%,wdi
KOR,South Korea,2008,24.5,,SI.DST.10TH.10,Income share held by highest 10%,wdi
KOR,South Korea,2010,24.2,,SI.DST.10TH.10,Income share held by highest 10%,wdi
KOR,South Korea,2012,23.8,,SI.DST.10TH.10,Income share held by highest 10%,wdi
KOR,South Korea,2014,23.7,,SI.DST.10TH.10,Income share held by highest 10%,wdi
KOR,South Korea,2016,26.4,,SI.DST.10TH.10,Income share held by highest 10%,wdi
