country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2024,-0.46,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
FRA,France,2023,-0.76,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
DEU,Germany,2022,0.16,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
GRC,Greece,2023,3.51,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
IRN,Iran,2023,1.72,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
ITA,Italy,2023,1.54,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
KOR,South Korea,2021,5.11,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
NLD,Netherlands,2021,2.86,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
PRT,Portugal,2023,2.28,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
RUS,Russia,2023,3.41,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
ESP,Spain,2023,2.58,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
SWE,Sweden,2023,0.4,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
TUR,Turkey,2023,10.03,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
GBR,United Kingdom,2021,0.86,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
USA,United States,2024,0.3,,SI.SPR.PC40.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",wdi
