country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1991,31.4639375543432,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,1992,31.5153088912859,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,1993,31.4145103671958,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,1994,31.3042001827345,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,1995,31.1660851567433,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,1996,30.6800013760229,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,1997,29.5724560498138,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,1998,29.3266746702102,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,1999,29.0613869728929,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2000,29.5309742391885,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2001,30.3661857246391,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2002,31.9674231301832,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2003,28.8466097284615,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2004,28.7429236387161,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2005,28.4108960467691,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2006,27.4443543183226,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2007,26.71482901612,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2008,26.6811341960836,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2009,26.9107902157366,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2010,26.3692439949303,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2011,26.0444673901339,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2012,25.8650735602781,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
ARG,Argentina,2013,26.5228958477717,,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)",wdi
