country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1991,1.30528599971696,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,1992,1.26168298913803,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,1993,1.23506310378381,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,1994,1.16274466908862,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,1995,1.11915341528453,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,1996,1.37286967632541,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,1997,1.249134855257,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,1998,1.03331697418168,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,1999,1.06214691020375,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2000,0.861571366108965,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2001,0.799519606549775,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2002,0.821403235792639,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2003,1.36500400809926,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2004,1.30796199267317,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2005,1.02594609019147,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2006,0.990513046380532,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2007,0.944331588808416,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2008,0.719051502976532,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2009,0.72269148828769,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2010,0.784109686644789,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2011,0.719035396345281,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2012,0.550020371229869,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2013,0.539262895294008,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
ARG,Argentina,2014,0.580227483451734,,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",wdi
