country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1990,5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ARG,Argentina,1995,4.5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ARG,Argentina,2000,4.1,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ARG,Argentina,2005,4.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ARG,Argentina,2010,4.4,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ARG,Argentina,2015,4.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ARG,Argentina,2020,4.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ARG,Argentina,2024,4.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
FRA,France,1990,10.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
FRA,France,1995,10.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
FRA,France,2000,10.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
FRA,France,2005,11.1,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
FRA,France,2010,11.5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
FRA,France,2015,12.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
FRA,France,2020,13.1,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
FRA,France,2024,13.8,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
DEU,Germany,1990,8.7,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
DEU,Germany,1995,11.7,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
DEU,Germany,2000,12.7,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
DEU,Germany,2005,13.7,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
DEU,Germany,2010,14.4,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
DEU,Germany,2015,15.4,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
DEU,Germany,2020,18,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
DEU,Germany,2024,19.8,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
GRC,Greece,1990,6,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
GRC,Greece,1995,8.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
GRC,Greece,2000,10.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
GRC,Greece,2005,10.8,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
GRC,Greece,2010,11.9,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
GRC,Greece,2015,11.5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
GRC,Greece,2020,12.5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
GRC,Greece,2024,14.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
IRN,Iran,1990,7.4,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
IRN,Iran,1995,4.7,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
IRN,Iran,2000,3.7,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
IRN,Iran,2005,3.6,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
IRN,Iran,2010,3.5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
IRN,Iran,2015,3.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
IRN,Iran,2020,3.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
IRN,Iran,2024,4.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ITA,Italy,1990,2.7,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ITA,Italy,1995,3.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ITA,Italy,2000,3.7,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ITA,Italy,2005,5.6,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ITA,Italy,2010,7.8,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ITA,Italy,2015,9.1,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ITA,Italy,2020,10.4,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
ITA,Italy,2024,11,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
KOR,South Korea,1990,0,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
KOR,South Korea,1995,0.1,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
KOR,South Korea,2000,0.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
KOR,South Korea,2005,0.5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
KOR,South Korea,2010,1.2,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
KOR,South Korea,2015,2.6,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
KOR,South Korea,2020,3.3,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
KOR,South Korea,2024,3.5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
NLD,Netherlands,1990,7.9,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
NLD,Netherlands,1995,9,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
NLD,Netherlands,2000,9.9,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
NLD,Netherlands,2005,10.5,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
NLD,Netherlands,2010,11,,SM.POP.TOTL.ZS,International migrant stock (% of population),wdi
