country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,8.654,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1961,8.523,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1962,8.712,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1963,8.704,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1964,8.887,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1965,8.831,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1966,8.775,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1967,8.896,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1968,9.195,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1969,9.453,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1970,9.154,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1971,9.352,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1972,9.303,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1973,9.314,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1974,9.25,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1975,9.098,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1976,9.166,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1977,8.94,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1978,8.856,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1979,8.799,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1980,8.879,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1981,8.704,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1982,8.838,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1983,8.769,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1984,8.806,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1985,8.409,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1986,8.223,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1987,8.038,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1988,7.881,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1989,7.727,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1990,7.832,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1991,7.621,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1992,7.681,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1993,7.694,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1994,7.49,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1995,7.562,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1996,7.52,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1997,7.413,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1998,7.605,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,1999,7.576,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2000,7.57,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2001,7.496,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2002,7.531,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2003,7.736,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2004,7.527,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2005,7.386,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2006,7.445,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2007,7.899,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2008,7.517,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2009,7.479,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2010,7.625,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2011,7.419,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2012,7.719,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2013,7.78,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2014,7.549,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2015,7.449,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2016,7.865,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2017,7.682,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2018,7.583,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2019,7.676,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2020,8.45,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2021,9.725,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2022,8.797,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2023,7.668,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
ARG,Argentina,2024,7.732,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1960,11.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1961,11.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1962,11.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1963,11.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1964,11.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1965,11.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1966,11,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1967,11,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1968,10.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1969,10.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1970,10.8,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1971,10.8,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1972,10.7,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1973,10.6,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1974,10.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1975,10.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1976,10.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1977,10.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1978,10.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1979,10.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1980,10.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1981,10.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1982,10,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1983,10,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1984,9.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1985,9.8,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1986,9.7,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1987,9.6,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1988,9.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1989,9.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1990,9.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1991,9.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1992,9.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1993,9.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1994,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1995,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1996,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1997,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1998,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,1999,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2000,8.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2001,8.8,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2002,8.8,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2003,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2004,8.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2005,8.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2006,8.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2007,8.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2008,8.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2009,8.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2010,8.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2011,8.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2012,8.7,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2013,8.7,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2014,8.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2015,8.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2016,8.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2017,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2018,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2019,9.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2020,9.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2021,9.8,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2022,9.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2023,9.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
FRA,France,2024,9.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1960,12,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1961,11.6,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1962,11.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1963,12,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1964,11.6,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1965,12,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1966,11.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1967,11.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1968,12.6,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1969,12.7,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1970,12.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1971,12.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1972,12.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1973,12.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1974,12.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1975,12.6,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1976,12.3,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1977,11.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1978,12.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1979,12.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1980,12.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1981,12.2,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1982,12,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1983,12,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1984,11.8,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1985,12,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1986,11.9,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1987,11.6,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1988,11.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1989,11.5,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1990,11.6,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1991,11.4,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1992,11,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
DEU,Germany,1993,11.1,,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",wdi
