country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,12946838,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1961,13155989,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1962,13375530,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1963,13601443,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1964,13827742,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1965,14055163,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1966,14287396,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1967,14522470,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1968,14757994,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1969,14991934,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1970,15224582,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1971,15453152,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1972,15678030,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1973,15901453,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1974,16123636,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1975,16336057,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1976,16533108,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1977,16724910,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1978,16916594,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1979,17110655,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1980,17308621,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1981,17513369,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1982,17732702,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1983,17973180,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1984,18230425,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1985,18496794,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1986,18770602,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1987,19054247,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1988,19349846,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1989,19654605,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1990,19965077,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1991,20273619,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1992,20582444,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1993,20898129,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1994,21218688,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1995,21541885,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1996,21864525,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
ARG,Argentina,1997,22185553,,SP.POP.1564.TO,"Population ages 15-64, total",wdi
