country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,4.06113589688594,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1961,4.11190292516343,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1962,4.15567997675824,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1963,4.19692843445498,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1964,4.2442438542053,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1965,4.29841353868103,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1966,4.35990177991405,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1967,4.42979828990443,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1968,4.49765710907639,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1969,4.54714682340713,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1970,4.57702628211078,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1971,4.58784526373982,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1972,4.57708994591344,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1973,4.5555076612187,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1974,4.54056066684376,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1975,4.54144166487867,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1976,4.55621333346159,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1977,4.58143106930725,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1978,4.61192235618312,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1979,4.64091163122598,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1980,4.66303220106581,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1981,4.6807236919722,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1982,4.69683439877206,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1983,4.70453641730037,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1984,4.69370109508224,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1985,4.66257199421709,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1986,4.6102857402216,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1987,4.53713552030565,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1988,4.45334771148197,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1989,4.37525921879055,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1990,4.31118476489814,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1991,4.26154200042698,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1992,4.22548029106578,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1993,4.20055167467808,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1994,4.18621853157995,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1995,4.18268669842236,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1996,4.19232848279181,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1997,4.21628214006389,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1998,4.25283091483676,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,1999,4.29854133029682,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2000,4.35132159398637,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2001,4.41110603606317,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2002,4.47924819500759,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2003,4.54992370187374,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2004,4.6091570874177,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2005,4.65923776022657,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2006,4.70420244635733,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2007,4.73796940051972,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2008,4.76116293907793,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2009,4.78158557363401,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
ARG,Argentina,2010,4.79743403903788,,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)",wdi
