country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,0.471032091456684,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1961,0.496544972324055,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1962,0.525890478115633,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1963,0.557795049671511,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1964,0.59250929771056,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1965,0.630729241935858,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1966,0.672535420777122,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1967,0.715670566405078,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1968,0.757620448276095,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1969,0.795338740570354,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1970,0.832728701403644,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1971,0.875856981529089,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1972,0.921173615363573,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1973,0.964402053257361,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1974,1.00723151028872,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1975,1.0507271920808,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1976,1.0934056817222,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1977,1.1361707168727,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1978,1.18054513739333,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1979,1.22366461063329,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1980,1.2621784696929,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1981,1.30338506412003,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
ARG,Argentina,1982,1.34310415499299,,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",wdi
