country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,57.45965153808211,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1961,57.5425154277645,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1962,57.545443059078785,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1963,57.49582599434486,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1964,57.43316587769717,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1965,57.32744614914819,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1966,57.15875027191799,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1967,56.99160679966976,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1968,56.868094674655644,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1969,56.80906145931539,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1970,56.84061473740297,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1971,56.972564561585884,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1972,57.19020820855681,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1973,57.507650401507334,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1974,57.91320890647742,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1975,58.38648212356262,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1976,58.96758794535184,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1977,59.65290695136775,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1978,60.387829843288785,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1979,61.12121365313017,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1980,61.83609312376763,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1981,62.52703291982257,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1982,63.11254765348225,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1983,63.5288357430349,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1984,63.80908837835651,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1985,64.00918451056978,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1986,64.15019614181794,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1987,64.22461092269876,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1988,64.24178259609921,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1989,64.19026482597843,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1990,64.0659888263892,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1991,63.909043570365995,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1992,63.700321497291576,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1993,63.42475922126809,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1994,63.127380920064425,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1995,62.79922114522476,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1996,62.426547112274335,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1997,62.032427138507664,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1998,61.62569242076431,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,1999,61.22369116188142,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2000,60.83994240117365,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2001,60.44208877168803,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2002,60.01001815343259,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2003,59.515772056025895,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2004,58.99088086037453,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2005,58.488531716709545,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2006,58.000352670502075,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2007,57.5050434620378,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2008,57.074187673280676,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2009,56.73568576834504,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
ARG,Argentina,2010,56.45214211123398,,SP.POP.DPND,Age dependency ratio (% of working-age population),wdi
