country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
ARG,Argentina,1995,4013000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,1996,4449000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,1997,4973000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,1998,5282000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,1999,5228000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2000,5460000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2001,4888000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2002,2744000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2003,2997000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2004,3208000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2005,3554000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2006,4047000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2007,5077000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2008,5987000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2009,5808000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2010,6448000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2011,7602000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2012,8466000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2013,8421000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2014,7837000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2015,9348000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2016,12273000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2017,14180000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2018,13084000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2019,9845000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
ARG,Argentina,2020,2746000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,1995,20699000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,1996,22049000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,1999,31630000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2000,29016000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2001,28781000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2002,30270000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2003,35807000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2004,36362000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2005,38633000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2006,39319000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2007,46042000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2008,50373000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2009,45087000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2010,46695000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2011,55509000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2012,50068000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2013,52444000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2014,58464000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2015,47713000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2016,49029000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2017,53787000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2018,59131000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2019,59751000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
FRA,France,2020,31193000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,1995,66527000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,1996,64725000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,1997,59000000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,1998,60253000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,1999,61215000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2000,57607000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2001,56437000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2002,59550000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2003,72839000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2004,80321000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2005,84513000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2006,85717000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2007,96170000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2008,105691000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2009,92899000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2010,90866000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2011,99909000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2012,96196000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2013,102668000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2014,101737000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2015,85334000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2016,87412000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2017,97163000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2018,103502000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
DEU,Germany,2019,101231000000,,ST.INT.XPND.CD,"International tourism, expenditures (current US$)",wdi,false
