country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ITA,Italy,1980,4.437,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
KOR,South Korea,1980,-9.0,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
ESP,Spain,1980,4.437,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
USA,United States,1980,-7.441,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
TUR,Turkey,1980,30.0,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
ARG,Argentina,1980,67.807,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
IRN,Iran,1980,14.804,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
SAU,Saudi Arabia,1980,10.72,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
ITA,Italy,1981,-6.807,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
KOR,South Korea,1981,2.054,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
ESP,Spain,1981,-6.807,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
USA,United States,1981,2.048,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
TUR,Turkey,1981,18.769,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
ARG,Argentina,1981,-20.509,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
IRN,Iran,1981,29.171,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
SAU,Saudi Arabia,1981,23.169,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
ITA,Italy,1982,-0.895,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
KOR,South Korea,1982,1.922,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
ESP,Spain,1982,5.216,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
USA,United States,1982,-2.525,Percent,TMG_RPCH,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",imf-weo
