chart_id,title,title_fa,category,category_fa,primary_source,alt_sources,n_unit_variants_merged,underlying_codes,status,extends_chart_id,merged_into,time_range,notes,citations_json
wdi__DT.NFL.FAOG,"Net official flows from UN agencies, FAO (current US$)",جریان‌های رسمی خالص از نهادهای سازمان ملل، سازمان خواربار و کشاورزی (FAO) (دلار جاری آمریکا),External Debt,بدهی خارجی,wdi,,1,DT.NFL.FAOG.CD,merged,,proposed__net_official_flows_un_agencies,,2026-07-14 quality audit: folded into proposed__net_official_flows_un_agencies as variant,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/DT.NFL.FAOG.CD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__CM.MKT.LCAP.GD,Market capitalization of listed domestic companies (% of GDP),ارزش بازار شرکت‌های داخلی پذیرفته‌شده در بورس (درصد از تولید ناخالص داخلی),Capital Markets,بازارهای سرمایه,wdi,,1,CM.MKT.LCAP.GD.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/CM.MKT.LCAP.GD.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SE.PRM.PRIV,"School enrollment, primary, private (% of total primary)",ثبت‌نام مدرسه‌ای، ابتدایی، خصوصی (درصد از کل ابتدایی),Education,آموزش,wdi,,1,SE.PRM.PRIV.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SE.PRM.PRIV.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__BX.TRF.PWKR.CD,"Personal remittances, received",حواله‌های شخصی دریافتی (دلار جاری آمریکا),Balance of Payments (Receipts),تراز پرداخت‌ها (دریافت‌ها),wdi,,1,BX.TRF.PWKR.CD.DT,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__TX.VAL.MRCH.R5,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),صادرات کالا به اقتصادهای با درآمد پایین و متوسط در جنوب آسیا (درصد از کل صادرات کالا),Trade (Exports),تجارت (صادرات),wdi,,1,TX.VAL.MRCH.R5.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/TX.VAL.MRCH.R5.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SP.POP.TECH.RD,Technicians in R&D,فن‌آوران در تحقیق و توسعه (به ازای هر یک میلیون نفر),Demographics & Population,جمعیت‌شناسی و جمعیت,wdi,,1,SP.POP.TECH.RD.P6,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SP.POP.TECH.RD.P6"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__BX.GSR.TRAN,"Transport services (% of service exports, BoP)",خدمات حمل‌ونقل (درصد از صادرات خدمات، موازنه پرداخت‌ها),Balance of Payments (Receipts),تراز پرداخت‌ها (دریافت‌ها),wdi,,1,BX.GSR.TRAN.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/BX.GSR.TRAN.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SL.TLF.CACT,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",نرخ مشارکت نیروی کار، کل (درصد از کل جمعیت 15 سال به بالا) (برآورد مدل‌سازی‌شده سازمان بین‌المللی کار),Labor & Employment,نیروی کار و اشتغال,wdi,"world-bank-archives-iran (1956-1972) | iran-data-portal (2005-2014) | iran-data-portal (1966-2011) | iran-disasters-regional-series [DUPLICATE -- no new data, see notes] (2005-2014) | iran-data-portal (2005-2014)",1,SL.TLF.CACT.ZS,new,,,,"Male/female labor force participation rate (age 10+) and unemployment rate at 1956 and 1966 censuses plus a 1972 Plan Organization projection. WDI's SL.TLF.CACT family for Iran only starts 1990 -- this adds 34 years of pre-WDI depth. Complements (does not duplicate) iran_disasters_regional_series/employed_population_by_gender_1966_2011.csv (staged separately below), which starts a decade later at 1966; this row's 1956 data point is the earliest labor-force-by-sex figure in the whole project. The 1956/1966 sectoral (agriculture/industry/services) breakdown recorded alongside these same rows is NOT separately registered here -- it duplicates, at coarser 2-year resolution, the fuller 1956-2011 annual series staged as iran_disasters__employed_persons_by_sector_1956_2011 below; noted there as a cross-validation source instead of a standalone chart. || WDI's SL.TLF.CACT family for Iran starts 1990 and gives no urban/rural split at all -- this national-estimate series (from SCI, not modeled ILO estimates) adds the urban/rural breakdown WDI never carries, for years that otherwise overlap WDI's own coverage. || Annual headcounts by sex (women's employment share tracked from 13.3% in 1966). WDI's labor-force-by-sex indicators (SL.TLF.CACT.FE/MA.ZS, participation RATES not headcounts) start 1990 -- this extends 24 years earlier, though the unit differs (headcount vs. %). Complements iran_census__wb_archives_labor_force_by_sex_1956_1972 (staged above), which adds a single earlier 1956 data point from an independent WB-archives source. || FOLLOW-UP to registration_completeness_audit.csv's dedup note on the iran_data_portal__labor_force_participation_rate_urbanrural_2005_2014 row. Verified via a full row-by-row diff (all 90 rows: 10 years x 3 areas x 3 sexes, Iranian year 1384-1393 / gregorian 2005-2014) that data/processed/iran_disasters_regional_series/labor_force_participation_rate_2005_2014.csv is BYTE-IDENTICAL in every value to the already-registered data/processed/iran_data_portal_deep_series/labor_force_participation_rate_gender_urbanrural_2005_2014.csv (same SCI/Ministry of Cooperatives Labour and Social Welfare source, e.g. 41%/64.7%/17% national/men/women 2005-06 matches exactly) -- only the column labels differ (area='total' vs 'national', sex='Both'/'Men'/'Women' vs gender='both_genders'/'men'/'women') plus 3 added metadata columns (unit, source, country_iso3) carrying no new information. CORRECTION to the audit's earlier guess that this file might be 'missing 2014-2015': it is not -- both files cover the exact same span through Iranian year 1393 (2014-2015 gregorian), confirmed identical, no coverage gap either direction. Registered here as a DEDUP ANNOTATION rather than a genuine alt-source: this row exists so the file is no longer un-registered (closes the last known orphan from the audit), but should NOT be read as independent corroboration -- it is the same underlying SCI/MCLS numbers reformatted, not a second data collection. If this file is ever pruned as pure redundancy, no information is lost; the identical figures remain in iran_data_portal_deep_series. || Native SCI/MCLS-sourced participation rate with urban/rural x gender breakdown that WDI's modeled-ILO-estimate series does not have -- kept as an alt-source line on the same chart concept per this project's 'both sources, never pick a winner' rule. DEDUP NOTE from this audit: a content-duplicate unregistered file also exists at iran_disasters_regional_series/labor_force_participation_rate_2005_2014.csv (same values, e.g. 41%/64.7%/17% national/men/women 2005-06) -- that sibling file is itself NOT yet in CHART_REGISTRY.csv or any staging file, which is outside this audit's assigned folder list; flagged here for a future pass, not fixed in this one to avoid scope creep beyond the assigned candidate folders.","[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SL.TLF.CACT.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SE.SEC.UNER.LO.FE,"Adolescents out of school, female (% of female lower secondary school age)",نوجوانان بازمانده از تحصیل، زنان (درصد از دختران سن متوسطه اول),Education,آموزش,wdi,,1,SE.SEC.UNER.LO.FE.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SE.SEC.UNER.LO.FE.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__FI.RES.TOTL,Total reserves in months of imports,کل ذخایر بر حسب ماه‌های واردات,Financial Sector (Interest Rates),بخش مالی (نرخ بهره),wdi,,2,FI.RES.TOTL.MO|FI.RES.TOTL.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/FI.RES.TOTL.MO"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
