chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
iran_census__premodern_local_counts_1868_1884,"Pre-Modern Local Population Counts (Tehran 1868, Shiraz 1883-84, Kerman 1874)",Demographics & Population,iranica-online,,"iran_census_demographics_series/iranica_census_demography_narrative_1868_1998.csv (year_or_period in {1868, 1883-84, 1874})",new,,1868-1884,"Pre-national-census local counts (first modern-style census attempt in Persia, city-level household/population counts). No national census existed yet; nothing in WDI/Maddison predates 1868 for Iran at this granularity. Genuinely new micro-historical data points."
iran_census__national_census_population_totals_1956_1998,"Iran National Census Population Totals (1956-1996, Encyclopaedia Iranica)",Demographics & Population,iranica-online,world-bank-archives-iran;un-demographic-yearbook-historical,iran_census_demographics_series/iranica_census_demography_narrative_1868_1998.csv (metric contains 'Total population'),extends,wdi__SP.POP,1956-1998,"Headline population totals at each of the 8 national censuses (1956-1996) plus 1995 mid-decade estimate. Cross-validates to the exact digit against un-demographic-yearbook-iran and wb_archives_population_demographic_citations_1956_1982.csv (1956: 18,954,704; 1976: 33,708,744; 1986: 49,445,010 -- three independent sources agree exactly per this folder's own README). WDI's SP.POP.TOTL for Iran only starts 1960, so 1956 census total is a genuine pre-WDI depth extension; later years are corroborating alt-source detail (census methodology, staff counts, under-enumeration rates) not carried by WDI at all."
iran_census__urbanization_by_census_1956_1986,"Urban Share of Population by Census Year (1956-1986, Encyclopaedia Iranica)",Demographics & Population,iranica-online,,iran_census_demographics_series/iranica_census_demography_narrative_1868_1998.csv (metric contains 'Urban share of population'),extends,wdi__SP.URB.TOTL.IN,1956-1986,"Urban share at each census (1956: 31%, 1966: 38%, 1976: 47%, 1986: 54.3% -- note 1986 figure flagged in source as administrative-definition change, not directly comparable to prior censuses). WDI's SP.URB.TOTL.IN.ZS starts 1960, so the 1956 point is a genuine pre-WDI extension."
iran_census__life_expectancy_narrative_1959_1990,"Life Expectancy at Birth, Narrative Estimates (1959, 1990)",Health,iranica-online,,iran_census_demographics_series/iranica_census_demography_narrative_1868_1998.csv (metric='Life expectancy at birth'),extends,wdi__SP.DYN.LE00,1959-1990,"Only two data points (46 yrs in 1959, 62 yrs in 1990). 1959 predates WDI's SP.DYN.LE00.IN coverage (starts 1960) by one year; 1990 duplicates WDI's own coverage. Thin series, kept as a citation-level extension rather than a standalone chart of real weight."
iran_census__fertility_family_planning_1956_1991,"Fertility, Family Planning & Contraceptive Distribution (1956-1991)",Health,iranica-online,,"iran_census_demographics_series/iranica_census_demography_narrative_1868_1998.csv (metrics: fertility rate, children born per woman, birth-control pill distribution, abortion share, family-planning acceptance)",new,,1956-1991,"Children-born-per-woman at 1986/1991 census overlaps conceptually with wdi__SP.DYN.TFRT (which also covers those years for Iran), but the public/private-sector contraceptive-pill distribution volumes, pre-abortion-share-of-births statistic, and 1978 family-planning-acceptance survey figure have no WDI equivalent at all -- kept as one new bundled chart concept rather than force-fitting only the fertility-rate sub-points onto wdi__SP.DYN.TFRT."
iran_census__infant_general_mortality_narrative_1955_1976,"Infant & General Mortality Rates, Urban/Rural Split (1955-1976)",Health,iranica-online,,"iran_census_demographics_series/iranica_census_demography_narrative_1868_1998.csv (Population Growth Survey rural/urban IMR/mortality rows) + iran_census_demographics_series/wb_archives_population_demographic_citations_1956_1982.csv (PBO-series IMR rows, 1955/56-1972)",extends,wdi__SP.DYN.IMRT,1955-1976,"Two independently-sourced mortality series covering complementary windows: Iranica's 1973-1976 Population Growth Survey rural/urban infant & general mortality split, and the World Bank archives' 1955/56-1972 PBO-series infant mortality point estimates. WDI's SP.DYN.IMRT.IN for Iran starts 1971 and carries no urban/rural split -- both citation sources add pre-1971 depth and a residence breakdown WDI never has for Iran."
iran_census__marriage_migration_patterns_1956_1991,"Marriage Age Gap, Internal Migration & Post-Revolution Exile Population (1956-1991)",Demographics & Population,iranica-online,,"iran_census_demographics_series/iranica_census_demography_narrative_1868_1998.csv (metrics: marriage age gap, share of women 10-49 married, non-migrant shares, Tehran migration destination share, exile population)",new,,1956-1991,"No WDI equivalent for any of these (age-at-first-marriage gap, birthplace-residence non-migrant share, Tehran as migration destination, ~3 million 1978-79-revolution/war-era exile estimate). The marriage-age-gap metric is thematically close to this project's own iran_disasters_regional_series/mean_age_at_first_marriage_1966_2006.csv (staged separately in this same batch, see that row) -- not set as extends_chart_id since that sibling file is itself only staged, not yet in CHART_REGISTRY.csv, but flagged here for a future merge pass."
iran_census__nomadic_population_1900_1990s,Nomadic Population Counts & Share of Rural Population (c.1900-1990s),Demographics & Population,iranica-online,,"iran_census_demographics_series/iranica_census_demography_narrative_1868_1998.csv (metrics: nomadic population, nomadic share of rural population)",new,,1900-1990s,"1987 dedicated nomad census (1,152,099 persons) vs. 1976 general-census undercount (337,176) vs. c.1900 and 1990s share-of-rural-population comparison points. No WDI indicator tracks nomadic/tribal population for Iran. Thematically adjacent to data/processed/nomadic_pastoral_economy/ (out of this task's scope, already has its own README per the census folder's README) -- cross-reference noted, not merged."
iran_census__wb_archives_birth_death_rates_1956_1972,"Crude Birth & Death Rates, Two Independent WB-Cited Series (1956-1972)",Demographics & Population,world-bank-archives-iran,,"iran_census_demographics_series/wb_archives_population_demographic_citations_1956_1982.csv (metrics: crude birth rate, crude death rate, incl. both the 'demographic estimate' series and the separate PBO series)",extends,wdi__SP.DYN.CBRT,1956-1972,"Two parallel citation series in the same WB source (a 1971-report 'demographic estimate' series and a distinct Plan & Budget Organization intercensal series) for the same crude birth/death rate concept -- both preserved as printed rather than reconciled, per this project's raw-data-immutability convention. WDI's SP.DYN.CBRT.IN/SP.DYN.CDRT.IN for Iran start 1960; the 1956/1958 points here predate that."
iran_census__wb_archives_reproduction_family_size_1966_1982,"Gross/Net Reproduction Rate & Completed Family Size, Rural vs. Tehran (1966-1982)",Health,world-bank-archives-iran,,"iran_census_demographics_series/wb_archives_population_demographic_citations_1956_1982.csv (metrics: gross/net reproduction rate, completed family size, incl. two conflicting 1966 life-expectancy estimates flagged in the source itself)",new,,1966-1982,"Net/gross reproduction rate and completed-family-size-per-married-woman (rural vs. Tehran split) have no WDI equivalent for Iran. The row also carries the source's own internally-conflicting 1966 life-expectancy estimates (53 vs. 45.6 years, both flagged 'NOTE conflicts' in the raw extraction) and 1971-vintage Plan Organization 1982 projections -- kept together as one coherent 'reproductive demography' chart rather than split further."
