country_iso3,indicator_id,series,special_or_major_group,weight_pct_in_base_year,year_iranian,year_western,base_year_sh,index_value,pct_change_yoy,pct_change_source,source_dataset,notes
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,General index,general,100.0,1375,1996-1997,1376,85.2,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,General index,general,100.0,1376,1997-1998,1376,100.0,17.4,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,General index,general,100.0,1377,1998-1999,1376,118.1,18.1,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,General index,general,100.0,1378,1999-2000,1376,141.8,20.1,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,General index,general,100.0,1379,2000-2001,1376,159.7,12.6,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Goods,special_group,60.93,1375,1996-1997,1376,89.1,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Goods,special_group,60.93,1376,1997-1998,1376,100.0,12.2,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Goods,special_group,60.93,1377,1998-1999,1376,116.7,16.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Goods,special_group,60.93,1378,1999-2000,1376,140.3,20.2,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Goods,special_group,60.93,1379,2000-2001,1376,153.0,9.1,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Services,special_group,12.03,1375,1996-1997,1376,82.4,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Services,special_group,12.03,1376,1997-1998,1376,100.0,21.4,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Services,special_group,12.03,1377,1998-1999,1376,118.8,18.8,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Services,special_group,12.03,1378,1999-2000,1376,145.9,22.8,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,Services,special_group,12.03,1379,2000-2001,1376,170.8,17.1,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
IRN,Consumer Price Index (CPI) of Goods and Services in Urban Areas,"Housing, fuel and lighting",special_group,27.04,1375,1996-1997,1376,76.7,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 64 (Consumer Price Index (CPI) of Goods and Services in Urban Areas)",
