country_iso3,indicator_id,series,special_or_major_group,weight_pct_in_base_year,year_iranian,year_western,base_year_sh,index_value,pct_change_yoy,pct_change_source,source_dataset,notes
IRN,Producer Price Index (PPI),General index,general,100.0,1375,1996-1997,1376,86.5,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),General index,general,100.0,1376,1997-1998,1376,100.0,15.6,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),General index,general,100.0,1377,1998-1999,1376,118.7,18.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),General index,general,100.0,1378,1999-2000,1376,145.9,22.9,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),General index,general,100.0,1379,2000-2001,1376,169.7,16.3,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),"Agriculture, hunting and forestry",special_group,23.62,1375,1996-1997,1376,,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",not published in source table for this year (printed as '..')
IRN,Producer Price Index (PPI),"Agriculture, hunting and forestry",special_group,23.62,1376,1997-1998,1376,100.0,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),"Agriculture, hunting and forestry",special_group,23.62,1377,1998-1999,1376,122.7,22.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),"Agriculture, hunting and forestry",special_group,23.62,1378,1999-2000,1376,152.7,24.4,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),"Agriculture, hunting and forestry",special_group,23.62,1379,2000-2001,1376,180.2,18.0,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),Manufacturing and mining,special_group,47.92,1375,1996-1997,1376,89.0,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),Manufacturing and mining,special_group,47.92,1376,1997-1998,1376,100.0,12.4,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),Manufacturing and mining,special_group,47.92,1377,1998-1999,1376,117.7,17.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
IRN,Producer Price Index (PPI),Manufacturing and mining,special_group,47.92,1378,1999-2000,1376,146.3,24.3,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 65 (Producer Price Index (PPI))",
