category,commodity_slug,year,faostat_value_t,iran_official_value_t,diff_pct
crop,apples,2010,2903572.3,2904000.0,0.01
crop,apples,2011,3112900.1,3419000.0,9.83
crop,apples,2012,3103883.3,3553000.0,14.47
crop,apples,2013,3035492.7,3190000.0,5.09
crop,apples,2014,2412494.0,3482000.0,44.33
crop,apples,2015,2500000.0,3434000.0,37.36
crop,apples,2016,2096749.0,3716000.0,77.23
crop,apples,2017,2398831.0,2944000.0,22.73
crop,apples,2018,1936697.0,4042000.0,108.71
crop,apples,2019,2241124.1,4225000.0,88.52
crop,apples,2020,2241100.0,4044000.0,80.45
crop,apples,2021,2767822.3,3982000.0,43.87
crop,barley,1999,1998959.0,1999000.0,0.0
crop,barley,2000,1686039.0,1686000.0,-0.0
crop,barley,2001,2423069.0,2408000.0,-0.62
crop,barley,2002,3084659.1,3085000.0,0.01
crop,barley,2003,2908074.0,2958000.0,1.72
crop,barley,2004,2940349.0,2900000.0,-1.37
crop,barley,2005,2856667.0,3000000.0,5.02
crop,barley,2006,2956032.0,2956000.0,-0.0
crop,barley,2007,3103980.0,3104000.0,0.0
crop,barley,2008,1547394.0,1547400.0,0.0
crop,barley,2009,2368995.5,3446200.0,45.47
crop,barley,2010,3294000.4,3580000.0,8.68
crop,barley,2011,2533994.0,3796000.0,49.8
crop,barley,2012,2768001.0,3391000.0,22.51
crop,barley,2013,2812117.0,2812000.0,-0.0
crop,barley,2014,2955437.4,3202000.0,8.34
crop,barley,2015,3201584.0,3724000.0,16.32
crop,barley,2016,3724398.0,2974000.0,-20.15
crop,barley,2017,2974000.0,3102000.0,4.3
crop,barley,2018,3101800.0,3514000.0,13.29
crop,barley,2019,3514300.0,3875000.0,10.26
crop,barley,2020,3874700.0,2479000.0,-36.02
crop,barley,2021,2479000.0,3177000.0,28.16
crop,citrus_fruits,2010,3675132.7,4559000.0,24.05
crop,citrus_fruits,2011,3865074.0,4986000.0,29.0
crop,citrus_fruits,2012,4108020.7,4075000.0,-0.8
crop,citrus_fruits,2013,4293041.2,4340000.0,1.09
crop,citrus_fruits,2014,3398166.2,4345000.0,27.86
crop,citrus_fruits,2015,3308656.7,5073000.0,53.33
crop,citrus_fruits,2016,3094947.0,5114000.0,65.24
crop,citrus_fruits,2017,3328730.9,5342000.0,60.48
crop,citrus_fruits,2018,3936221.5,5613000.0,42.6
crop,citrus_fruits,2019,4100043.5,5603000.0,36.66
crop,citrus_fruits,2020,4077566.9,5316000.0,30.37
crop,citrus_fruits,2021,4257956.8,5976000.0,40.35
crop,corn_maize,2004,1926078.0,1926000.0,-0.0
crop,corn_maize,2005,1995252.0,2200000.0,10.26
crop,corn_maize,2006,2166130.0,2166000.0,-0.01
crop,corn_maize,2007,2361299.0,2619000.0,10.91
crop,corn_maize,2008,1560992.4,1763500.0,12.97
crop,corn_maize,2009,1335002.6,1643000.0,23.07
