year,metric,value,unit,source,country_iso3
1913,post_offices,158,count,Encyclopaedia Iranica COMMUNICATIONS in Persia -- 1330-31 AH/1912-13,IRN
1913,post_substations,15,count,Encyclopaedia Iranica COMMUNICATIONS in Persia,IRN
1953,post_offices,537,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Rapport, p.11",IRN
1953,post_boxes,839,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Rapport, p.11",IRN
1965,post_offices,756,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1345 (1966) p.479",IRN
1965,post_boxes,4497,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1345 (1966) p.479",IRN
1965,domestic_mail_pieces,172100000,pieces,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1345 (1966) p.479",IRN
1965,foreign_mail_pieces,22600000,pieces,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1345 (1966) p.479",IRN
1976,post_and_telegraph_general_offices,147,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976) pp.420-22",IRN
1976,urban_post_offices,200,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1976,rural_post_offices,436,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1976,domestic_mail_pieces,308600000,pieces,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1976,foreign_mail_pieces,31700000,pieces,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1976,domestic_parcels,548000,parcels,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1976,foreign_parcels,82000,parcels,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1989,post_and_telegraph_general_offices,209,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1368 (1989) p.330",IRN
1989,mail_pieces_total,315800000,pieces,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1368 (1989) p.330",IRN
1989,parcels_total,1900000,parcels,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1368 (1989) p.330",IRN
