series,statistic,value,unit,notes,country_iso3
rial_dollar_parallel_market_rate_of_change,maximum_monthly_increase,60.74,percent,"Occurred June 1980 (Table 1, p.12)",IRN
rial_dollar_parallel_market_rate_of_change,maximum_monthly_decrease,-27.92,percent,"Occurred December 1980 (Table 1, p.12)",IRN
rial_dollar_parallel_market_rate_of_change,mean,2.36,percent,"Monthly mean, Jan 1978-Dec 1990 (Table 1, p.12)",IRN
rial_dollar_parallel_market_rate_of_change,standard_deviation,9.32,percent,"Monthly, Jan 1978-Dec 1990 (Table 1, p.12)",IRN
rial_dollar_parallel_market_rate_of_change,skewness,1.53,ratio,"Jan 1978-Dec 1990 (Table 1, p.12)",IRN
rial_dollar_parallel_market_rate_of_change,kurtosis_minus_3,9.61,ratio,"Jan 1978-Dec 1990 (Table 1, p.12); leptokurtosis/fat tails",IRN
rial_dollar_parallel_market_rate_of_change,coefficient_of_variation,3.95,ratio,"Jan 1978-Dec 1990 (Table 1, p.12)",IRN
rial_dollar_parallel_market_premium_PMP,value_at_series_end,~2000,percent,"December 1990, described in text as 'exceeded 2,000 percent, among the highest ever observed internationally' (p.2); Chart 1 axis max is labeled 2269.4 percent",IRN
rial_dollar_parallel_market_premium_PMP,volatility_regime,n/a,qualitative,Most volatile period 1979-1982 (coinciding with revolution/political upheaval); volatility diminished from 1982 onward even as level rose steadily (p.11),IRN
non_oil_gas_export_share_of_total_exports,average_1978_1990,96,percent,Oil and gas averaged ~96% of Iran's total exports 1978-90 (p.1); non-oil residual ~4%,IRN
oil_gas_export_earnings,1978_level,21,billion_USD,p.1 Introduction,IRN
oil_gas_export_earnings,1986_low,6,billion_USD,"p.1 Introduction, trough of the period",IRN
oil_gas_export_earnings,1990_level,12,billion_USD,p.1 Introduction,IRN
exchange_rate_system_complexity,max_concurrent_official_rates,over 10,count,'in certain periods over ten different exchange rates were in effect' (p.1),IRN
