law_id	year	doc_type	score	title	path
178b2a01cf4c	2001	law	16	قانون موافقتنامه بازرگاني بين دولت جمهوري اسلامي ايران و دولت جمهوري تونس	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_بازرگاني_بين_دولت_جمهوري_اسلامي_ايران_و_دولت_جمهوري_تونس_5735970062744326498.txt
3e79f836a122	1975	law	16	قانون  اراضي  مستحدث  و ساحلي	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون__اراضي__مستحدث__و_ساحلي_17369421626071963947.txt
2aa111785dc7	1986	law	16	قانون معافيت كالاها و تجهيزات صنعت آب و برق از پرداخت حقوق و عوارض گمركي و سود بازرگاني	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_معافيت_كالاها_و_تجهيزات_صنعت_آب_و_برق_از_پرداخت_حقوق_و_عوارض_گمركي_و_سود_بازرگاني_1757464703391435018.txt
595555a794fc	1930	law	16	قانون بودجه سال 1309 كل مملكتي	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1309_كل_مملكتي_4192673267993948790.txt
ea881a8f3c07	1963	other	16	لايحه قانوني ملي كردن جنگلها	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانوني_ملي_كردن_جنگلها_11825088406714077415.txt
a3ffd15b26e3	1973	other	16	پيشنهاد مقررات مربوط به تعيين تكليف نسقه ... رات اصلاحات ارضي به تملك دولت درآمده است	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/پيشنهاد_مقررات_مربوط_به_تعيين_تكليف_نسقه_..._رات_اصلاحات_ارضي_به_تملك_دولت_درآمده_است_14079578698955405231.txt
5785ca7fd7b2	1997	law	16	قانون الحاق دولت جمهوري اسلامي ايران به  ... ورپيشگيري ، تجسس وجلوگيري ازتخلفات گمركي	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_الحاق_دولت_جمهوري_اسلامي_ايران_به__..._ورپيشگيري_،_تجسس_وجلوگيري_ازتخلفات_گمركي_16982826131325048511.txt
211f3347df5a	1969	law	16	قانون قرارداد بين ايران و جمهوري فدرال آ ... تناب از اخذ ماليات مضاعف از درآمد و ثروت	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_قرارداد_بين_ايران_و_جمهوري_فدرال_آ_..._تناب_از_اخذ_ماليات_مضاعف_از_درآمد_و_ثروت_13580693918325794529.txt
b46060c9c18f	2005	law	16	قانون تعيين سقف انتشار اوراق مشاركت توسط بانك مركزي جمهوري اسلامي ايران	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تعيين_سقف_انتشار_اوراق_مشاركت_توسط_بانك_مركزي_جمهوري_اسلامي_ايران_15475979074087864672.txt
628878f2dfca	1968	law	16	لايحه قانوني اصلاح موادي از قانون تشكيل شركتهاي سهامي زراعي	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانوني_اصلاح_موادي_از_قانون_تشكيل_شركتهاي_سهامي_زراعي_13847605299470981369.txt
ed93f650bb5d	2007	law	16	قانون موافقتنامه بين دولت جمهوري اسلامي  ...  در زمينه كمك متقابل اداري در امور گمركي	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_بين_دولت_جمهوري_اسلامي__...__در_زمينه_كمك_متقابل_اداري_در_امور_گمركي_17786940003814136521.txt
1022c3b84bbf	1992	other	16	كنوانسيون بين المللي تأسيس يك صندوق بين  ... ودگي نفتي با اعمال اصلاحات پروتكل  1992	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/كنوانسيون_بين_المللي_تأسيس_يك_صندوق_بين__..._ودگي_نفتي_با_اعمال_اصلاحات_پروتكل__1992__3700141902402041358.txt
fc43c9b7e602	1985	law	16	قانون موافقتنامه حمل ونقل هوائي بين دولت جمهوري اسلامي ايران و دولت جمهوري تركيه	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_حمل_ونقل_هوائي_بين_دولت_جمهوري_اسلامي_ايران_و_دولت_جمهوري_تركيه_16387675291239635373.txt
11f715fa44d6	1995	law	16	قانون اصلاح قانون تأسيس شركت سهامي خاص پايانه هاي عمومي وسايل نقليه باربري مصوب 1367	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_قانون_تأسيس_شركت_سهامي_خاص_پايانه_هاي_عمومي_وسايل_نقليه_باربري_مصوب_1367_7922324000785754948.txt
87263ab34c45	1988	law	16	قانون اصلاح قانون صندوق عمران مراتع مصوب 1349	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_قانون_صندوق_عمران_مراتع_مصوب_1349_12778909291383746759.txt
39aaed1cb82e	1975	law	16	اصلاح بعضي از مواد و تبصره هاي قانون شرك ... اد 1350 و الحاق چند تبصره به قانون مذكور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/اصلاح_بعضي_از_مواد_و_تبصره_هاي_قانون_شرك_..._اد_1350_و_الحاق_چند_تبصره_به_قانون_مذكور_16016978977534609390.txt
f3ffd0692b77	1961	other	16	اساسنامه سازمان دامپروری کشور با اصلاحات و الحاقات بعدی	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/14800726436826717230_14800726436826717230.txt
00ee9e58e562	2004	law	16	قانون موافقتنامه همكاري هاي اقتصادي و با ... هوري اسلامي ايران و دولت جمهوري قزاقستان	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_همكاري_هاي_اقتصادي_و_با_..._هوري_اسلامي_ايران_و_دولت_جمهوري_قزاقستان_1025551758329483312.txt
ecc433b7b473	1979	other	16	لايحه قانوني اجازه فروش و اجاره تأسيسات و تجهيزات كشاورزي و دامپروري	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانوني_اجازه_فروش_و_اجاره_تأسيسات_و_تجهيزات_كشاورزي_و_دامپروري_14090778163674552605.txt
65236763add1	2004	law	16	قانون موافقتنامه همكاري و كمكهاي متقابل  ... مهوري  اسلامي ايران و دولت جمهوري  تركيه	/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_موافقتنامه_همكاري_و_كمكهاي_متقابل__..._مهوري__اسلامي_ايران_و_دولت_جمهوري__تركيه_1391201250001732807.txt
bda6653e7453	1977	law	16	قانون اجراي احكام مدني	/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون اجراي احكام مدني.txt
093a47fef296	2005	other	15	آئين نامه اجرايي سازمان زندان ها و اقدامات تأميني و تربيتي كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آئين_نامه_اجرايي_سازمان_زندان_ها_و_اقدامات_تأميني_و_تربيتي_كشور_3189469510422338235.txt
b0faeacfcc5d	1943	decree	15	طرح تصويبنامه سازمان بنگاه كارپردازي كل كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/طرح_تصويبنامه_سازمان_بنگاه_كارپردازي_كل_كشور_4934064076995391721.txt
32a17f71f216	2004	other	15	آيين نامه اجرايي بند  الف  تبصره 20  قان ...  نامه شماره 1052 ت28348هـ مورخ 1382 1 16	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__الف__تبصره_20__قان_...__نامه_شماره_1052_ت28348هـ_مورخ_1382_1_16_8218645222273481215.txt
0250b776b73f	2015	other	15	آيين نامه اجرايي تبصره  3  الحاقي ماده   ... توليد رقابت پذير و ارتقاي نظام مالي كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره__3__الحاقي_ماده___..._توليد_رقابت_پذير_و_ارتقاي_نظام_مالي_كشور_12294649214728724659.txt
38f7f8c9c139	2003	other	15	آيين نامه  نحوه  از رده  خارج  كردن  خودروهاي  فرسوده	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه__نحوه__از_رده__خارج__كردن__خودروهاي__فرسوده_8735735985277684701.txt
c5ba5e56d7cc	2019	law	15	آيين نامه اجرايي قانون تأسيس و اداره مدارس و مراكز آموزشي و پرورشي غيردولتي	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_تأسيس_و_اداره_مدارس_و_مراكز_آموزشي_و_پرورشي_غيردولتي_2178568428736020451.txt
