fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1958/59,1959,Ministry of War,,8217.0,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Gendarmerie,,1489.0,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Police,,1473.9,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Post and Telegraphs,,753.8,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Education,,3255.3,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Universities and Tehran Education Department,,1572.7,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Agriculture,,618.5,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Roads,,577.0,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Health,,999.4,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Finance,,1152.7,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Customs,,483.8,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Commerce,,36.8,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Labor,,53.6,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Ministry of Mines and Industry,,67.6,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Tobacco Monopoly,,1235.1,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Loss of Bread and Cereal Administration,,501.5,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Other,,2774.3,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Total,,25262.0,million rials,,IRN,wb1960-table11-actual-treasury-expenditures,,,"no FX rate for 1959 (known gap), not converted"
