fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1962,1962,Total Revenues,,52.9,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.6983,3.0812,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Total Revenues,,58.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.7749,3.4056,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Total Revenues,,68.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.9069,3.8359,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Total Revenues,,90.9,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.2,4.9727,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Total Revenues,,96.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.27,5.2821,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Total Revenues,,110.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.4535,5.9464,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Total Revenues,,129.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.7083,6.9383,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Total Revenues,,150.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,1.9855,7.7969,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Total Revenues,,173.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,2.2891,8.835,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Total Revenues,,258.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,3.4099,12.6405,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
