fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1963/64,1964,Oil Exports (Volume),Total,69.8,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Oil Exports (Volume),Total,79.4,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Oil Exports (Volume),Total,88.3,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Oil Exports (Volume),Total,99.8,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Oil Exports (Volume),Total,122.3,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Oil Exports (Volume),Total,133.8,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Oil Exports (Volume),Total,158.9,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Oil Exports (Volume),Total,183.7,million metric tons,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Oil Exports (Volume),Crude,54.5,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Oil Exports (Volume),Crude,64.4,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Oil Exports (Volume),Crude,73.3,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Oil Exports (Volume),Crude,84.8,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Oil Exports (Volume),Crude,107.3,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Oil Exports (Volume),Crude,117.6,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Oil Exports (Volume),Crude,142.6,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Oil Exports (Volume),Crude,166.7,million metric tons,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Oil Exports (Volume),Products,15.3,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Oil Exports (Volume),Products,15.1,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Oil Exports (Volume),Products,15.0,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Oil Exports (Volume),Products,15.0,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Oil Exports (Volume),Products,15.0,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Oil Exports (Volume),Products,16.2,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Oil Exports (Volume),Products,16.3,million metric tons,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Oil Exports (Volume),Products,17.0,million metric tons,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Oil Revenue by Paying Company,Total,388.0,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Oil Revenue by Paying Company,Total,466.5,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Oil Revenue by Paying Company,Total,514.1,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Oil Revenue by Paying Company,Total,608.1,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Oil Revenue by Paying Company,Total,751.6,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Oil Revenue by Paying Company,Total,853.5,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Oil Revenue by Paying Company,Total,964.6,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Oil Revenue by Paying Company,Total,1164.0,million US dollars,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Oil Revenue by Paying Company,Consortium,388.0,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Oil Revenue by Paying Company,Consortium,466.5,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Oil Revenue by Paying Company,Consortium,512.1,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1966/67,1967,Oil Revenue by Paying Company,Consortium,591.5,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1967/68,1968,Oil Revenue by Paying Company,Consortium,715.3,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1968/69,1969,Oil Revenue by Paying Company,Consortium,817.3,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1969/70,1970,Oil Revenue by Paying Company,Consortium,915.5,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1970/71 (preliminary estimate),1971,Oil Revenue by Paying Company,Consortium,1092.0,million US dollars,"Preliminary estimate, not final actual",IRN,wb1971-table9-oil-exports-and-revenues
1963/64,1964,Oil Revenue by Paying Company,NIOC,,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1964/65,1965,Oil Revenue by Paying Company,NIOC,,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
1965/66,1966,Oil Revenue by Paying Company,NIOC,,million US dollars,,IRN,wb1971-table9-oil-exports-and-revenues
