fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1939,1939,Oil Industry Employment by Nationality,Iranian,15060,count (persons employed),1939-49 and 1951 figures include only Anglo-Iranian Oil Company (AIOC) employees,IRN,usbm1963-oil-industry-employment-1939-1960
1939,1939,Oil Industry Employment by Nationality,Non-Iranian,2723,count (persons employed),1939-49 and 1951 figures include only Anglo-Iranian Oil Company (AIOC) employees,IRN,usbm1963-oil-industry-employment-1939-1960
1939,1939,Oil Industry Employment by Nationality,Total,17783,count (persons employed),1939-49 and 1951 figures include only Anglo-Iranian Oil Company (AIOC) employees,IRN,usbm1963-oil-industry-employment-1939-1960
1940,1940,Oil Industry Employment by Nationality,Iranian,13380,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1940,1940,Oil Industry Employment by Nationality,Non-Iranian,2273,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1940,1940,Oil Industry Employment by Nationality,Total,15653,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1941,1941,Oil Industry Employment by Nationality,Iranian,10986,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1941,1941,Oil Industry Employment by Nationality,Non-Iranian,2079,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1941,1941,Oil Industry Employment by Nationality,Total,13065,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1942,1942,Oil Industry Employment by Nationality,Iranian,11654,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1942,1942,Oil Industry Employment by Nationality,Non-Iranian,1803,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1942,1942,Oil Industry Employment by Nationality,Total,13457,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1943,1943,Oil Industry Employment by Nationality,Iranian,16389,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1943,1943,Oil Industry Employment by Nationality,Non-Iranian,2864,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1943,1943,Oil Industry Employment by Nationality,Total,19253,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1944,1944,Oil Industry Employment by Nationality,Iranian,16485,count (persons employed),Total for 1939-44 known to be understated due to lack of contract-labor data,IRN,usbm1963-oil-industry-employment-1939-1960
1944,1944,Oil Industry Employment by Nationality,Non-Iranian,3380,count (persons employed),Total for 1939-44 known to be understated due to lack of contract-labor data,IRN,usbm1963-oil-industry-employment-1939-1960
1944,1944,Oil Industry Employment by Nationality,Total,19865,count (persons employed),Total for 1939-44 known to be understated due to lack of contract-labor data,IRN,usbm1963-oil-industry-employment-1939-1960
1945,1945,Oil Industry Employment by Nationality,Iranian,21781,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1945,1945,Oil Industry Employment by Nationality,Non-Iranian,4030,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1945,1945,Oil Industry Employment by Nationality,Not Specified,12143,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1945,1945,Oil Industry Employment by Nationality,Total,37954,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1946,1946,Oil Industry Employment by Nationality,Iranian,24889,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1946,1946,Oil Industry Employment by Nationality,Non-Iranian,4520,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1946,1946,Oil Industry Employment by Nationality,Not Specified,12461,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1946,1946,Oil Industry Employment by Nationality,Total,41870,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1947,1947,Oil Industry Employment by Nationality,Iranian,28221,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1947,1947,Oil Industry Employment by Nationality,Non-Iranian,4228,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1947,1947,Oil Industry Employment by Nationality,Not Specified,11065,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1947,1947,Oil Industry Employment by Nationality,Total,43514,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1948,1948,Oil Industry Employment by Nationality,Iranian,29917,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1948,1948,Oil Industry Employment by Nationality,Non-Iranian,4306,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1948,1948,Oil Industry Employment by Nationality,Not Specified,12189,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1948,1948,Oil Industry Employment by Nationality,Total,46412,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1949,1949,Oil Industry Employment by Nationality,Iranian,32011,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1949,1949,Oil Industry Employment by Nationality,Non-Iranian,4477,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1949,1949,Oil Industry Employment by Nationality,Not Specified,16410,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1949,1949,Oil Industry Employment by Nationality,Total,52898,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1951,1951,Oil Industry Employment by Nationality,Iranian,50662,count (persons employed),Year of oil nationalization,IRN,usbm1963-oil-industry-employment-1939-1960
1951,1951,Oil Industry Employment by Nationality,Non-Iranian,4271,count (persons employed),Year of oil nationalization,IRN,usbm1963-oil-industry-employment-1939-1960
1951,1951,Oil Industry Employment by Nationality,Not Specified,12951,count (persons employed),Year of oil nationalization,IRN,usbm1963-oil-industry-employment-1939-1960
1951,1951,Oil Industry Employment by Nationality,Total,67884,count (persons employed),Year of oil nationalization,IRN,usbm1963-oil-industry-employment-1939-1960
1955,1955,Oil Industry Employment by Nationality,Iranian,48799,count (persons employed),"1955-59 figures include the Consortium, NIOC, SIRIP, IPAC, IRCAN, and contract labor of the Consortium where applicable. Total includes 51,945 Consortium employees + estimated 6,055 NIOC employees",IRN,usbm1963-oil-industry-employment-1939-1960
1955,1955,Oil Industry Employment by Nationality,Non-Iranian,280,count (persons employed),"1955-59 figures include the Consortium, NIOC, SIRIP, IPAC, IRCAN, and contract labor of the Consortium where applicable. Total includes 51,945 Consortium employees + estimated 6,055 NIOC employees",IRN,usbm1963-oil-industry-employment-1939-1960
1955,1955,Oil Industry Employment by Nationality,Not Specified,8921,count (persons employed),"1955-59 figures include the Consortium, NIOC, SIRIP, IPAC, IRCAN, and contract labor of the Consortium where applicable. Total includes 51,945 Consortium employees + estimated 6,055 NIOC employees",IRN,usbm1963-oil-industry-employment-1939-1960
1955,1955,Oil Industry Employment by Nationality,Total,58000,count (persons employed),"1955-59 figures include the Consortium, NIOC, SIRIP, IPAC, IRCAN, and contract labor of the Consortium where applicable. Total includes 51,945 Consortium employees + estimated 6,055 NIOC employees",IRN,usbm1963-oil-industry-employment-1939-1960
1956,1956,Oil Industry Employment by Nationality,Iranian,52668,count (persons employed),Iranian/Non-Iranian split does not include NIOC staff (not reported by nationality this year; included under not-specified),IRN,usbm1963-oil-industry-employment-1939-1960
1956,1956,Oil Industry Employment by Nationality,Non-Iranian,453,count (persons employed),Iranian/Non-Iranian split does not include NIOC staff (not reported by nationality this year; included under not-specified),IRN,usbm1963-oil-industry-employment-1939-1960
1956,1956,Oil Industry Employment by Nationality,Not Specified,10026,count (persons employed),Iranian/Non-Iranian split does not include NIOC staff (not reported by nationality this year; included under not-specified),IRN,usbm1963-oil-industry-employment-1939-1960
1956,1956,Oil Industry Employment by Nationality,Total,63147,count (persons employed),Iranian/Non-Iranian split does not include NIOC staff (not reported by nationality this year; included under not-specified),IRN,usbm1963-oil-industry-employment-1939-1960
1957,1957,Oil Industry Employment by Nationality,Iranian,47940,count (persons employed),Excludes Consortium and NIOC staff not reported by nationality this year (included under not-specified),IRN,usbm1963-oil-industry-employment-1939-1960
1957,1957,Oil Industry Employment by Nationality,Non-Iranian,0,count (persons employed),Excludes Consortium and NIOC staff not reported by nationality this year (included under not-specified),IRN,usbm1963-oil-industry-employment-1939-1960
1957,1957,Oil Industry Employment by Nationality,Not Specified,15363,count (persons employed),Excludes Consortium and NIOC staff not reported by nationality this year (included under not-specified),IRN,usbm1963-oil-industry-employment-1939-1960
1957,1957,Oil Industry Employment by Nationality,Total,63303,count (persons employed),Excludes Consortium and NIOC staff not reported by nationality this year (included under not-specified),IRN,usbm1963-oil-industry-employment-1939-1960
1958,1958,Oil Industry Employment by Nationality,Iranian,56611,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1958,1958,Oil Industry Employment by Nationality,Non-Iranian,693,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1958,1958,Oil Industry Employment by Nationality,Not Specified,4724,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1958,1958,Oil Industry Employment by Nationality,Total,62028,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1959,1959,Oil Industry Employment by Nationality,Iranian,56616,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1959,1959,Oil Industry Employment by Nationality,Non-Iranian,908,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1959,1959,Oil Industry Employment by Nationality,Not Specified,4295,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1959,1959,Oil Industry Employment by Nationality,Total,61819,count (persons employed),,IRN,usbm1963-oil-industry-employment-1939-1960
1960,1960,Oil Industry Employment by Nationality,Total,58894,count (persons employed),Iranian/Non-Iranian/not-specified breakdown not available; total includes Consortium employees as of December 1960 and NIOC employees as of November 1960,IRN,usbm1963-oil-industry-employment-1939-1960
